Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote
The Last Airbender,-18227813,131772187,150000000,4
Unstoppable,-18437058,81562942,100000000,6.8
You Will Meet a Tall Dark Stranger,-18751754,3248246,22000000,6.3
Dylan Dog: Dead of Night,-18813462,1186538,20000000,5.1
Extraordinary Measures,-18931687,12068313,31000000,6.4
Stone,-20189922,1810078,22000000,5.4
When in Rome,-22319367,32680633,55000000,5.6
Legend of the Guardians: The Owls of Ga'Hoole,-24324687,55675313,80000000,6.9
London Boulevard,-24983925,16075,25000000,6.2
The Way Back,-27298141,2701859,30000000,7.3
Killers,-27940037,47059963,75000000,5.5
Scott Pilgrim vs. the World,-28475725,31524275,60000000,7.5
The Tourist,-32368843,67631157,100000000,6
The A-Team,-32777901,77222099,110000000,6.7
Jonah Hex,-36452883,10547117,47000000,4.7
Edge of Darkness,-36686110,43313890,80000000,6.6
Knight and Day,-40576965,76423035,117000000,6.3
Cats & Dogs: The Revenge of Kitty Galore,-41414247,43585753,85000000,4.3
The Chronicles of Narnia: The Voyage of the Dawn Treader,-50613050,104386950,155000000,6.3
Tangled,-59178064,200821936,260000000,7.7
Green Zone,-64946340,35053660,100000000,6.8
Gulliver's Travels,-69220739,42779261,112000000,4.9
The Sorcerer's Apprentice,-86849009,63150991,150000000,6.1
The Wolfman,-88020320,61979680,150000000,5.8
How Do You Know,-89787380,30212620,120000000,5.4
Robin Hood,-94730270,105269730,200000000,6.6
Prince of Persia: The Sands of Time,-109240324,90759676,200000000,6.6
2011,1505657327,9603482327,8097825000,1057.2
Harry Potter and the Deathly Hallows: Part 2,256409310,381409310,125000000,8.1
The Hangover Part II,174464305,254464305,80000000,6.4
The Twilight Saga: Breaking Dawn - Part 1,171287133,281287133,110000000,4.9
Transformers: Dark of the Moon,157390543,352390543,195000000,6.2
The Help,144708112,169708112,25000000,8
Bridesmaids,136606725,169106725,32500000,6.8
Paranormal Activity 3,99028807,104028807,5000000,5.8
Fast Five,84837675,209837675,125000000,7.3
Rise of the Planet of the Apes,83760185,176760185,93000000,7.6
Horrible Bosses,82538559,117538559,35000000,6.9
Bad Teacher,80292856,100292856,20000000,5.6
Super 8,77004179,127004179,50000000,7
Mission: Impossible - Ghost Protocol,64397903,209397903,145000000,7.4
Gnomeo & Juliet,63967670,99967670,36000000,5.9
The Descendants,62584160,82584160,20000000,7.3
Sherlock Holmes: A Game of Shadows,61848418,186848418,125000000,7.5
Alvin and the Chipmunks: Chipwrecked,58110742,133110742,75000000,4.3
Rio,53619809,143619809,90000000,6.9
Limitless,52249455,79249455,27000000,7.4
No Strings Attached,45662220,70662220,25000000,6.2
Hop,45085305,108085305,63000000,5.4
The Muppets,43631237,88631237,45000000,7.1
Midnight in Paris,39817045,56817045,17000000,7.7
Captain America: The First Avenger,36654505,176654505,140000000,6.9
The Best Exotic Marigold Hotel,36412041,46412041,10000000,7.2
Dolphin Tale,35286779,72286779,37000000,6.9
"Crazy, Stupid, Love.",34351197,84351197,50000000,7.4
Unknown,33686397,63686397,30000000,6.8
The Smurfs,32614158,142614158,110000000,5.4
Courageous,32522221,34522221,2000000,7
Diary of a Wimpy Kid: Rodrick Rules,31698535,52698535,21000000,6.5
Thor,31030624,181030624,150000000,7
The Artist,29671682,44671682,15000000,7.9
The Ides of March,28462534,40962534,12500000,7.1
Footloose,27802742,51802742,24000000,5.9
50/50,27014192,35014192,8000000,7.6
The Grey,26580236,51580236,25000000,6.8
Soul Surfer,25853424,43853424,18000000,7
We Bought a Zoo,25624550,75624550,50000000,7.1
Moneyball,25605492,75605492,50000000,7.6
Just Go with It,23028109,103028109,80000000,6.4
Source Code,22712227,54712227,32000000,7.5
The Roommate,21300000,37300000,16000000,4.8
Friends with Benefits,20802754,55802754,35000000,6.5
Water for Elephants,20709717,58709717,38000000,6.9
Drive,20061555,35061555,15000000,7.8
Our Idiot Brother,19816118,24816118,5000000,6.4
Puss in Boots,19260504,149260504,130000000,6.6
The Lincoln Lawyer,18009200,58009200,40000000,7.3
You're Next,17494006,18494006,1000000,6.6
A Very Harold & Kumar 3D Christmas,16061031,35061031,19000000,6.3
Contagion,15658097,75658097,60000000,6.7
Kung Fu Panda 2,15249063,165249063,150000000,7.2
War Horse,13884879,79884879,66000000,7.2
Battle Los Angeles,13552429,83552429,70000000,5.7
Mr. Popper's Penguins,13224452,68224452,55000000,6
Apollo 18,12687709,17687709,5000000,5.2
The Girl with the Dragon Tattoo,12515793,102515793,90000000,7.8
The Adjustment Bureau,12295645,62495645,50200000,7
The Cabin in the Woods,12073277,42073277,30000000,7
Spy Kids 4: All the Time in the World,11538188,38538188,27000000,3.5
Beastly,10865571,27865571,17000000,5.6
Silent House,10754783,12754783,2000000,5.2
Hanna,10259119,40259119,30000000,6.8
Hall Pass,9060734,45060734,36000000,5.8
30 Minutes or Less,9053924,37053924,28000000,6.1
Immortals,8504017,83504017,75000000,6
"Big Mommas: Like Father, Like Son",5915414,37915414,32000000,4.4
Larry Crowne,5608245,35608245,30000000,6.1
The Sitter,5441326,30441326,25000000,5.7
Young Adult,4311571,16311571,12000000,6.2
Bernie,4206470,9206470,5000000,6.8
Something Borrowed,4046489,39046489,35000000,5.9
Monte Carlo,3186769,23186769,20000000,5.8
Like Crazy,3145391,3395391,250000,6.7
Tower Heist,3046570,78046570,75000000,6.2
Final Destination 5,2587643,42587643,40000000,5.8
J. Edgar,2306030,37306030,35000000,6.5
Prom,2130219,10130219,8000000,5.4
Margin Call,1854039,5354039,3500000,7.1
Your Sister's Sister,1511190,1636190,125000,6.7
Another Earth,1221194,1321194,100000,7
Zookeeper,360843,80360843,80000000,5.2
The Innkeepers,-671604,78396,750000,5.4
One Day,-1156229,13843771,15000000,7
New Year's Eve,-1455362,54544638,56000000,5.7
Scream 4,-1819072,38180928,40000000,6.1
In Time,-2479905,37520095,40000000,6.7
Paul,-2587055,37412945,40000000,7
Shame,-2590998,3909002,6500000,7.2
Friends with Kids,-2748927,7251073,10000000,6.1
Red State,-2895318,1104682,4000000,6.2
Cedar Rapids,-3138898,6861102,10000000,6.2
Take Shelter,-3269704,1730296,5000000,7.4
Winnie the Pooh,-3307154,26692846,30000000,7.2
Colombiana,-3334146,36665854,40000000,6.4
The Rite,-3952367,33047633,37000000,6
Haywire,-4057604,18942396,23000000,5.8
Red Riding Hood,-4337838,37662162,42000000,5.5
Jack and Jill,-4841843,74158157,79000000,3.3
I Am Number Four,-4899563,55100437,60000000,6.1
Albert Nobbs,-4985304,3014696,8000000,6.7
Flypaper,-4994957,5043,5000000,6.4
Ghost Rider: Spirit of Vengeance,-5225998,51774002,57000000,4.3
We Need to Talk About Kevin,-5261308,1738692,7000000,7.5
The Eagle,-5509959,19490041,25000000,6.2
"Jeff, Who Lives at Home",-5730574,4269426,10000000,6.5
What's Your Number?,-5988916,14011084,20000000,6.1
Shark Night 3D,-6122847,18877153,25000000,4
Sanctum,-6790690,23209310,30000000,5.9
Abduction,-6912845,28087155,35000000,5.1
Arthur,-6964603,33035397,40000000,5.7
Bucky Larson: Born to Be a Star,-7470605,2529395,10000000,3.2
Restless,-7836735,163265,8000000,6.8
Violet & Daisy,-7982814,17186,8000000,6.1
Extremely Loud & Incredibly Close,-8152119,31847881,40000000,6.9
A Better Life,-8240748,1759252,10000000,7.2
Cars 2,-8547604,191452396,200000000,6.1
The Darkest Hour,-8556506,21443494,30000000,4.9
Pirates of the Caribbean: On Stranger Tides,-8928198,241071802,250000000,6.6
Killer Joe,-9012238,1987762,11000000,6.7
The Ledge,-9990784,9216,10000000,6.5
Kill the Irishman,-10811806,1188194,12000000,7.1
The Mechanic,-10878502,29121498,40000000,6.6
Rampart,-11027488,972512,12000000,5.8
Warrior,-11342885,13657115,25000000,8.2
Rango,-11522393,123477607,135000000,7.2
Fright Night,-11697393,18302607,30000000,6.3
5 Days of War,-11982521,17479,12000000,5.6
The Double,-13362079,137921,13500000,5.9
X: First Class,-13591695,146408305,160000000,7.7
Margaret,-13953505,46495,14000000,6.4
I Don't Know How She Does It,-14337716,9662284,24000000,4.9
Straw Dogs,-14675559,10324441,25000000,5.8
The Change-Up,-14918525,37081475,52000000,6.3
The Son of No One,-14969320,30680,15000000,5.1
Season of the Witch,-15172772,24827228,40000000,5.4
Atlas Shrugged: Part I,-15372625,4627375,20000000,5.6
Take Me Home Tonight,-16071932,6928068,23000000,6.3
Seeking Justice,-16588254,411746,17000000,6.2
The Tree of Life,-18696681,13303319,32000000,6.8
The Beaver,-20029184,970816,21000000,6.6
The Thing,-21071330,16928670,38000000,6.2
The Green Hornet,-21219958,98780042,120000000,5.8
The Dilemma,-21524710,48475290,70000000,5.3
Carnage,-22452953,2547047,25000000,7.2
Real Steel,-24531492,85468508,110000000,7.1
Anonymous,-25536708,4463292,30000000,6.9
Your Highness,-28303555,21596445,49900000,5.5
Dream House,-28697660,21302340,50000000,6
Machine Gun Preacher,-29461310,538690,30000000,6.8
Priest,-30863000,29137000,60000000,5.7
The Rum Diary,-31890185,13109815,45000000,6.2
The Big Year,-33795862,7204138,41000000,6.2
Trespass,-34975906,24094,35000000,5.3
Johnny English Reborn,-36694030,8305970,45000000,6.3
Drive Angry,-39278967,10721033,50000000,5.4
Sucker Punch,-45607498,36392502,82000000,6
Arthur Christmas,-53537531,46462469,100000000,7.1
The Three Musketeers,-54625516,20374484,75000000,5.7
The Adventures of Tintin,-57408169,77591831,135000000,7.3
Cowboys & Aliens,-62759449,100240551,163000000,6
Conan the Barbarian,-68704979,21295021,90000000,5.2
Happy Feet Two,-70993534,64006466,135000000,5.9
Hugo,-76135493,73864507,150000000,7.5
Green Lantern,-83398828,116601172,200000000,5.5
Mars Needs Moms,-128607242,21392758,150000000,5.4
2012,2503280832,9919800832,7416520000,982.2
The Avengers,403357910,623357910,220000000,8
The Hunger Games,330010692,408010692,78000000,7.2
The Dark Knight Rises,198139099,448139099,250000000,8.4
The Twilight Saga: Breaking Dawn - Part 2,172324737,292324737,120000000,5.5
Ted,168815487,218815487,50000000,6.9
The Lorax,144030500,214030500,70000000,6.4
The Hobbit: An Unexpected Journey,123003568,303003568,180000000,7.8
Lincoln,117207973,182207973,65000000,7.3
Silver Linings Playbook,111092958,132092958,21000000,7.7
Magic Mike,106721571,113721571,7000000,6.1
Skyfall,104360277,304360277,200000000,7.7
21 Jump Street,96447667,138447667,42000000,7.2
The Vow,95014030,125014030,30000000,6.8
Taken 2,94854287,139854287,45000000,6.3
Argo,91525503,136025503,44500000,7.7
Les Misérables,87809770,148809770,61000000,7.6
Think Like a Man,79547205,91547205,12000000,6.6
Madagascar 3: Europe's Most Wanted,71391482,216391482,145000000,6.8
Ice Age: Continental Drift,66321843,161321843,95000000,6.6
Hotel Transylvania,63313048,148313048,85000000,7.1
Django Unchained,62805434,162805434,100000000,8.4
Flight,62772375,93772375,31000000,7.3
Act of Valor,58012847,70012847,12000000,6.5
Zero Dark Thirty,55720716,95720716,40000000,7.4
Chronicle,52575175,64575175,12000000,7
Brave,52283207,237283207,185000000,7.1
Parental Guidance,52267296,77267296,25000000,6
The Devil Inside,52261944,53261944,1000000,4.2
Paranormal Activity 4,48885000,53885000,5000000,4.6
Pitch Perfect,48001093,65001093,17000000,7.2
Sinister,45086903,48086903,3000000,6.8
Project X,42731865,54731865,12000000,6.6
Contraband,41528000,66528000,25000000,6.5
Safe House,41373434,126373434,85000000,6.7
The Woman in Black,37333290,54333290,17000000,6.4
Looper,36486205,66486205,30000000,7.4
The Lucky One,35457138,60457138,25000000,6.5
The Possession,35130154,49130154,14000000,5.9
End of Watch,34003371,41003371,7000000,7.6
Hope Springs,33536011,63536011,30000000,6.3
This Is 40,32544505,67544505,35000000,6.2
The Amazing Spider-Man,32030663,262030663,230000000,6.9
Moonrise Kingdom,29512466,45512466,16000000,7.8
Diary of a Wimpy Kid: Dog Days,27008662,49008662,22000000,6.3
The Odd Life of Timothy Green,26854875,51854875,25000000,6.6
Journey 2: The Mysterious Island,24860290,103860290,79000000,5.8
Wreck-It Ralph,24422889,189422889,165000000,7.7
House at the End of the Street,21611916,31611916,10000000,5.6
Jack Reacher,20070736,80070736,60000000,7
Chernobyl Diaries,17119640,18119640,1000000,5
Escape from Planet Earth,17012977,57012977,40000000,5.9
The Three Stooges,14338224,44338224,30000000,5.1
Hit and Run,11749300,13749300,2000000,6.1
Mud,11590086,21590086,10000000,7.4
Lawless,11400127,37400127,26000000,7.3
Beasts of the Southern Wild,10995746,12795746,1800000,7.3
Spring Breakers,9124284,14124284,5000000,5.3
American Reunion,7011521,57011521,50000000,6.7
The Place Beyond the Pines,6403519,21403519,15000000,7.3
Trouble with the Curve,5763137,35763137,30000000,6.8
The Words,5494838,11494838,6000000,7
The Sessions,5002451,6002451,1000000,7.2
The Perks of Being a Wallflower,4742948,17742948,13000000,8
Here Comes the Boom,3290318,45290318,42000000,6.4
Safety Not Guaranteed,3260957,4010957,750000,7
The Company You Keep,3133027,5133027,2000000,6.4
Savages,2382068,47382068,45000000,6.5
Step Up Revolution,2074677,35074677,33000000,6.4
Sleepwalk with Me,1266067,2266067,1000000,6.8
What to Expect When You're Expecting,1152203,41152203,40000000,5.7
Robot & Frank,825038,3325038,2500000,7.1
The Man with the Iron Fists,634090,15634090,15000000,5.4
"For a Good Time, Call...",401749,1251749,850000,6
Compliance,49285,319285,270000,6.4
Killing Them Softly,26056,15026056,15000000,6.2
Seven Psychopaths,24049,15024049,15000000,7.2
Smashed,-123403,376597,500000,6.8
The Lords of Salem,-334118,1165882,1500000,5.1
It's a Disaster,-439182,60818,500000,6.4
Brake,-495124,4876,500000,6.1
The Collection,-657942,6842058,7500000,6.1
The Brass Teapot,-893003,6997,900000,6.4
The Five-Year Engagement,-1164472,28835528,30000000,6.2
Liberal Arts,-1672655,327345,2000000,6.7
The First Time,-1977164,22836,2000000,6.8
Bachelorette,-2552046,447954,3000000,5.3
No One Lives,-2825082,74918,2900000,6
The Guilt Trip,-2865785,37134215,40000000,5.7
Seeking a Friend for the End of the World,-2921262,7078738,10000000,6.7
ATM,-2996990,3010,3000000,4.7
Prometheus,-3522916,126477084,130000000,7
People Like Us,-3565222,12434778,16000000,7.1
Frankenweenie,-3708932,35291068,39000000,6.9
ParaNorman,-3996949,56003051,60000000,7
Arbitrage,-4080426,7919574,12000000,6.6
Fun Size,-4590462,9409538,14000000,5.4
Piranha 3DD,-4623488,376512,5000000,3.7
What Maisie Knew,-4933529,1066471,6000000,7.4
The Dictator,-5349778,59650222,65000000,6.4
Ruby Sparks,-5459894,2540106,8000000,7.2
Lockout,-5673136,14326864,20000000,6.1
Maniac,-5968919,31081,6000000,6.1
Promised Land,-7402102,7597898,15000000,6.6
Underworld Awakening,-7678961,62321039,70000000,6.4
The Iceman,-8030807,1969193,10000000,6.8
The Campaign,-8092254,86907746,95000000,6.1
Red Tails,-8123623,49876377,58000000,5.9
Disconnect,-8563100,1436900,10000000,7.5
Alex Cross,-9111588,25888412,35000000,5.1
Hitchcock,-9691323,6008677,15700000,6.8
The Raven,-9991728,16008272,26000000,6.4
Universal Soldier: Day of Reckoning,-9994540,5460,10000000,5
This Means War,-10239209,54760791,65000000,6.3
Stand Up Guys,-11689969,3310031,15000000,6.5
The Bourne Legacy,-11796130,113203870,125000000,6.7
The Paperboy,-11806714,693286,12500000,5.8
Deadfall,-11933649,66351,12000000,6.3
The Apparition,-12063181,4936819,17000000,4.1
Safe,-12857920,17142080,30000000,6.5
One for the Money,-13585473,26414527,40000000,5.3
Chasing Mavericks,-13997244,6002756,20000000,7.2
Snow White and the Huntsman,-14667619,155332381,170000000,6.1
Premium Rush,-14724554,20275446,35000000,6.5
The Expendables 2,-14971808,85028192,100000000,6.6
The Master,-15622726,16377274,32000000,7.2
The Cold Light of Day,-16236417,3763583,20000000,4.9
The Oogieloves in the Big Balloon Adventure,-18934093,1065907,20000000,2.1
Big Miracle,-19842700,20157300,40000000,6.5
Mirror Mirror,-20064833,64935167,85000000,5.6
Red Dawn,-20193217,44806783,65000000,5.4
A Thousand Words,-21549873,18450127,40000000,5.9
Playing for Keeps,-21896728,13103272,35000000,5.7
Resident Evil: Retribution,-22654469,42345531,65000000,5.4
Man on a Ledge,-23380000,18620000,42000000,6.6
The Pirates! In an Adventure with Scientists!,-23948874,31051126,55000000,6.7
On the Road,-24255704,744296,25000000,6.1
Lo imposible,-25980118,19019882,45000000,7.6
Lay the Favorite,-26329002,20998,26350000,4.8
Abraham Lincoln: Vampire Hunter,-31480861,37519139,69000000,5.9
The Watch,-32647000,35353000,68000000,5.7
That's My Boy,-33068911,36931089,70000000,5.5
Stolen,-34695682,304318,35000000,5.5
Bullet to the Head,-35510171,9489829,45000000,5.7
Rock of Ages,-36481387,38518613,75000000,5.9
Dredd,-36585286,13414714,50000000,7.1
Rise of the Guardians,-41587242,103412758,145000000,7.3
Men in Black 3,-45979146,179020854,225000000,6.8
Total Recall,-66122031,58877969,125000000,6.3
Wrath of the Titans,-66329917,83670083,150000000,5.7
Dark Shadows,-70272851,79727149,150000000,6.2
Cloud Atlas,-74891728,27108272,102000000,7.4
Battleship,-143577375,65422625,209000000,5.8
John Carter,-176921900,73078100,250000000,6.6
2013,2283641247,10198836247,7915195000,1046.5
The Hunger Games: Catching Fire,294668047,424668047,130000000,7.5
Despicable Me 2,292065385,368065385,76000000,7.3
Frozen,250738009,400738009,150000000,7.4
Iron Man Three,209013994,409013994,200000000,7.2
Gravity,174092705,274092705,100000000,7.7
The Conjuring,117400141,137400141,20000000,7.5
The Heat,116582188,159582188,43000000,6.6
We're the Millers,113394119,150394119,37000000,7
American Hustle,110117807,150117807,40000000,7.2
Identity Thief,99506920,134506920,35000000,5.7
Bad Grandpa,87003019,102003019,15000000,6.5
The Butler,86632095,116632095,30000000,7.2
Lone Survivor,85095601,125095601,40000000,7.5
Furious 6,78679850,238679850,160000000,7.1
Insidious: Chapter 2,78586447,83586447,5000000,6.6
Anchorman 2: The Legend Continues,77352707,127352707,50000000,6.3
This Is the End,69470202,101470202,32000000,6.6
Monsters University,68492764,268492764,200000000,7.3
Man of Steel,66045518,291045518,225000000,7
The Purge,61473115,64473115,3000000,5.7
42,55020213,95020213,40000000,7.5
Grown Ups 2,53668525,133668525,80000000,5.4
The Best Man Holiday,53525195,70525195,17000000,6.7
The Croods,52168425,187168425,135000000,7.2
Captain Phillips,52100855,107100855,55000000,7.8
Saving Mr. Banks,48301580,83301580,35000000,7.5
Safe Haven,43349120,71349120,28000000,6.7
Now You See Me,42723989,117723989,75000000,7.3
Cloudy with a Chance of Meatballs 2,41793567,119793567,78000000,6.4
Planes,40288712,90288712,50000000,5.7
The Great Gatsby,39840419,144840419,105000000,7.2
The Call,38872378,51872378,13000000,6.7
Star Trek Into Darkness,38778661,228778661,190000000,7.7
A Haunted House,37541683,40041683,2500000,5
Evil Dead,37239856,54239856,17000000,6.5
12 Years a Slave,36671993,56671993,20000000,8.1
Thor: The Dark World,36362140,206362140,170000000,6.9
Last Vegas,35914167,63914167,28000000,6.6
The Hobbit: The Desolation of Smaug,33366855,258366855,225000000,7.8
Warm Bodies,31380662,66380662,35000000,6.9
Olympus Has Fallen,28925640,98925640,70000000,6.5
Snitch,27930462,42930462,15000000,6.4
Philomena,25709979,37709979,12000000,7.6
Pain & Gain,23875291,49875291,26000000,6.4
Oculus,22695246,27695246,5000000,6.5
Dallas Buyers Club,22298285,27298285,5000000,8
Don Jon,21477704,24477704,3000000,6.5
Oz the Great and Powerful,19911825,234911825,215000000,6.3
The Wolf of Wall Street,16900694,116900694,100000000,8.2
The Way Way Back,16506546,21506546,5000000,7.4
Blue Jasmine,15405481,33405481,18000000,7.3
Fruitvale Station,15201339,16101339,900000,7.5
Prisoners,15002302,61002302,46000000,8.1
2 Guns,14612460,75612460,61000000,6.7
Texas Chainsaw 3D,14341945,34341945,20000000,4.8
Dark Skies,13918667,17418667,3500000,6.3
August: Osage County,12738810,37738810,25000000,7.2
21 & Over,12682380,25682380,13000000,5.8
The Wolverine,12556852,132556852,120000000,6.7
World War Z,12359711,202359711,190000000,7
Scary Movie 5,12015787,32015787,20000000,3.5
The Last Exorcism Part II,10179302,15179302,5000000,4
Enough Said,9550872,17550872,8000000,7
The Hangover Part III,9200072,112200072,103000000,5.8
Begin Again,8170632,16170632,8000000,7.4
Epic,7518682,107518682,100000000,6.7
The Family,6918811,36918811,30000000,6.3
The World's End,6004851,26004851,20000000,7
Hansel & Gretel: Witch Hunters,5703475,55703475,50000000,6.1
Nebraska,5654912,17654912,12000000,7.7
Carrie,5266619,35266619,30000000,5.9
Before Midnight,5114627,8114627,3000000,7.9
Admission,5007317,18007317,13000000,5.7
Delivery Man,4664106,30664106,26000000,6.4
The Spectacular Now,4354611,6854611,2500000,7.1
Jobs,4131410,16131410,12000000,5.9
Riddick,4025135,42025135,38000000,6.4
Movie 43,2840453,8840453,6000000,4.3
Her,2568251,25568251,23000000,8
The Book Thief,2488481,21488481,19000000,7.6
Inside Llewyn Davis,2235319,13235319,11000000,7.5
The Green Inferno,2192291,7192291,5000000,5.3
Side Effects,2172757,32172757,30000000,7.1
The To Do List,1991669,3491669,1500000,5.8
Kick-Ass 2,795985,28795985,28000000,6.5
Free Birds,750480,55750480,55000000,5.8
Upstream Color,394098,444098,50000,6.7
Coherence,52617,102617,50000,7.2
Cheap Thrills,-140576,59424,200000,6.7
Blue Ruin,-161616,258384,420000,7.1
The Canyons,-193175,56825,250000,3.8
Prince Avalanche,-519861,205139,725000,6.3
Locke,-624231,1375769,2000000,7.1
Homefront,-1841102,20158898,22000000,6.5
The Bling Ring,-2154268,5845732,8000000,5.6
Bad Words,-2220386,7779614,10000000,6.6
Syrup,-2499337,663,2500000,5.7
All Is Lost,-2736330,6263670,9000000,6.9
Joe,-3626625,373375,4000000,6.9
Adult World,-3974632,25368,4000000,6.1
The Sacrament,-3990779,9221,4000000,6.1
Only God Forgives,-4020812,779188,4800000,5.7
The East,-4198161,2301839,6500000,6.8
Labor Day,-4628472,13371528,18000000,6.9
Filth,-4965589,34411,5000000,7.1
Pawn Shop Chronicles,-4991912,8088,5000000,5.9
Anna,-6995712,4288,7000000,6.5
The Incredible Burt Wonderstone,-7462119,22537881,30000000,5.9
G.I. Joe: Retaliation,-7476940,122523060,130000000,5.8
Getaway,-7498062,10501938,18000000,4.4
The Counselor,-8026285,16973715,25000000,5.3
The Zero Theorem,-8242294,257706,8500000,6.1
Welcome to the Punch,-8490253,9747,8500000,6.1
Closed Circuit,-9249599,5750401,15000000,6.2
Parkland,-9346349,653651,10000000,6.4
Lovelace,-9643418,356582,10000000,6.2
Grudge Match,-10192740,29807260,40000000,6.4
Stoker,-10285779,1714221,12000000,6.8
Out of the Furnace,-10669151,11330849,22000000,6.8
Runner Runner,-10683354,19316646,30000000,5.6
Under the Skin,-10685749,2614251,13300000,6.3
Rush,-11052376,26947624,38000000,8.1
Life of Crime,-11734548,265452,12000000,5.8
Machete Kills,-11991839,8008161,20000000,5.6
The Big Wedding,-13180652,21819348,35000000,5.6
The Internship,-13327236,44672764,58000000,6.3
The Host,-13372799,26627201,40000000,5.9
The Immigrant,-13974672,2025328,16000000,6.6
Gangster Squad,-13999097,46000903,60000000,6.7
Metallica Through the Never,-14580033,3419967,18000000,7.2
Broken City,-15298836,19701164,35000000,6.2
Phantom,-16965411,1034589,18000000,5.9
Parker,-17383359,17616641,35000000,6.2
Trance,-17671257,2328743,20000000,6.9
Dead Man Down,-19104705,10895295,30000000,6.5
Hummingbird,-19963105,36895,20000000,6.2
Percy Jackson: Sea of Monsters,-21440446,68559554,90000000,5.8
Elysium,-21949883,93050117,115000000,6.6
A Good Day to Die Hard,-24650802,67349198,92000000,5.3
The Fifth Estate,-24744992,3255008,28000000,6.2
Escape Plan,-24864035,25135965,50000000,6.7
Blood Ties,-25457528,42472,25500000,6.5
Third Person,-26978602,1021398,28000000,6.3
Paranoia,-27611346,7388654,35000000,5.7
Oldboy,-27806342,2193658,30000000,5.7
The Mortal Instruments: City of Bones,-28834579,31165421,60000000,5.9
RED 2,-30737440,53262560,84000000,6.6
Oblivion,-30892765,89107235,120000000,7
The Secret Life of Walter Mitty,-31763162,58236838,90000000,7.3
The Last Stand,-32949701,12050299,45000000,6.3
The Smurfs 2,-33982216,71017784,105000000,5.3
Beautiful Creatures,-40547862,19452138,60000000,6.1
Walking with Dinosaurs 3D,-43923879,36076121,80000000,5.2
Ender's Game,-48262809,61737191,110000000,6.6
Turbo,-51971872,83028128,135000000,6.4
After Earth,-69477903,60522097,130000000,4.8
White House Down,-76896216,73103784,150000000,6.4
Pacific Rim,-88197094,101802906,190000000,6.9
R.I.P.D.,-96381145,33618855,130000000,5.6
The Lone Ranger,-125697885,89302115,215000000,6.4
47 Ronin,-136637525,38362475,175000000,6.3
2014,2776691483,10428891483,7652200000,1108.2
American Sniper,291326372,350126372,58800000,7.3
The Hunger Games: Mockingjay - Part 1,212135885,337135885,125000000,6.6
The Lego Movie,197760692,257760692,60000000,7.7
Guardians of the Galaxy,163176600,333176600,170000000,8
22 Jump Street,141719337,191719337,50000000,7
Neighbors,132157400,150157400,18000000,6.3
The Fault in Our Stars,112872350,124872350,12000000,7.7
Ride Along,109938200,134938200,25000000,6.2
Gone Girl,106767189,167767189,61000000,8.1
Captain America: The Winter Soldier,89766572,259766572,170000000,7.7
Lucy,86663600,126663600,40000000,6.4
Heaven Is for Real,79443253,91443253,12000000,5.8
Into the Woods,78002372,128002372,50000000,5.9
Annabelle,77773813,84273813,6500000,5.4
The Imitation Game,77125683,91125683,14000000,8
The Maze Runner,68427862,102427862,34000000,6.8
Teenage Mutant Ninja Turtles,66204754,191204754,125000000,5.8
Divergent,65947895,150947895,85000000,6.7
Let's Be Cops,65390774,82390774,17000000,6.4
Tammy,64525432,84525432,20000000,4.9
The Purge: Anarchy,62962800,71962800,9000000,6.4
Maleficent,61410378,241410378,180000000,7
God's Not Dead,58755732,60755732,2000000,4.7
Big Hero 6,57527828,222527828,165000000,7.8
Unbroken,50637895,115637895,65000000,7.2
Kingsman: The Secret Service,47261724,128261724,81000000,7.7
The Equalizer,46530738,101530738,55000000,7.2
Dumb and Dumber To,46208010,86208010,40000000,5.6
Ouija,45856010,50856010,5000000,4.5
The Other Woman,43911193,83911193,40000000,6
Non-Stop,42168600,92168600,50000000,6.9
Taken 3,41256424,89256424,48000000,6
Think Like a Man Too,41182182,65182182,24000000,5.8
Godzilla,40676069,200676069,160000000,6.4
If I Stay,39474843,50474843,11000000,6.7
No Good Deed,39343632,52543632,13200000,5.6
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",38954149,66954149,28000000,6.2
Dawn of the Planet of the Apes,38545589,208545589,170000000,7.6
Son of God,37700064,59700064,22000000,5.7
About Last Night,36137684,48637684,12500000,6.1
Transformers: Age of Extinction,35439076,245439076,210000000,5.6
The Grand Budapest Hotel,34301324,59301324,25000000,8.1
X-Men: Days of Future Past,33921534,233921534,200000000,8
The Hundred-Foot Journey,32240821,54240821,22000000,7.3
Selma,32076908,52076908,20000000,7.5
How to Train Your Dragon 2,32002924,177002924,145000000,7.8
Unfriended,31482090,32482090,1000000,5.5
St. Vincent,31137712,44137712,13000000,7.2
Rio 2,28538435,131538435,103000000,6.3
Paranormal Activity: The Marked Ones,27462372,32462372,5000000,5
Earth to Echo,25934842,38934842,13000000,5.8
Birdman or (The Unexpected Virtue of Ignorance),24340598,42340598,18000000,7.7
Nightcrawler,23881217,32381217,8500000,7.9
John Wick,23037835,43037835,20000000,7.4
Interstellar,23020017,188020017,165000000,8.6
Wild,22880356,37880356,15000000,7.1
The Nut Job,22251541,64251541,42000000,5.7
Boyhood,21352281,25352281,4000000,7.9
Paddington,21271832,76271832,55000000,7.2
