ID,ID,Genre List
404,16643,"[['Comedy', 'Drama', 'Romance']]"
405,9544,"[['Horror', 'Thriller', 'Crime']]"
406,9932,"[['Comedy', 'Crime']]"
407,10052,"[['Thriller', 'Fantasy']]"
408,2103,"[['Drama', 'Science Fiction', 'Mystery']]"
409,2185,"[['Action', 'Comedy', 'Thriller', 'Mystery']]"
410,8427,"[['Action', 'Adventure', 'Comedy', 'Thriller']]"
411,12590,"[['Thriller', 'Horror', 'Mystery']]"
412,3132,"[['Action', 'Adventure', 'Comedy', 'Thriller']]"
413,9275,"[['Comedy', 'Crime', 'Drama', 'Thriller']]"
414,9884,"[['Action', 'Thriller', 'Drama']]"
415,5851,"[['Action', 'Comedy']]"
416,10592,"[['Drama', 'War']]"
417,11484,"[['Action', 'Science Fiction']]"
418,10375,"[['Action', 'Thriller', 'Horror']]"
419,10996,"[['Family', 'Adventure', 'Animation', 'Comedy']]"
420,10550,"[['Action', 'Adventure', 'Thriller']]"
421,8665,"[['Drama', 'History', 'War', 'Thriller', 'Mystery']]"
422,12100,"[['War', 'Drama', 'Action', 'History']]"
423,11692,"[['Action', 'Comedy', 'Science Fiction']]"
424,9016,"[['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']]"
425,12,"[['Animation', 'Family']]"
426,122,"[['Adventure', 'Fantasy', 'Action']]"
427,22,"[['Adventure', 'Fantasy', 'Action']]"
428,310,"[['Fantasy', 'Comedy']]"
429,10719,"[['Comedy', 'Family', 'Fantasy']]"
430,604,"[['Adventure', 'Action', 'Thriller', 'Science Fiction']]"
431,36658,"[['Adventure', 'Action', 'Science Fiction']]"
432,10678,"[['Comedy', 'Drama']]"
433,691683,"[['Family', 'Comedy']]"
434,10330,"[['Comedy', 'Family', 'Fantasy']]"
435,12279,"[['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']]"
436,9373,[['Horror']]
437,322,"[['Thriller', 'Crime', 'Drama', 'Mystery']]"
438,4256,[['Comedy']]
439,9506,[['Comedy']]
440,9919,"[['Comedy', 'Romance']]"
441,6466,[['Horror']]
442,11635,[['Comedy']]
443,584,"[['Action', 'Crime', 'Thriller']]"
444,8273,"[['Comedy', 'Romance']]"
445,8326,"[['Adventure', 'Family', 'Drama', 'Comedy']]"
446,667296,[[]]
447,9654,"[['Action', 'Crime']]"
448,10327,"[['Comedy', 'Romance']]"
449,6964,"[['Drama', 'Comedy', 'Romance']]"
450,10708,"[['Comedy', 'Family']]"
451,153,"[['Drama', 'Romance', 'Comedy']]"
452,24,"[['Action', 'Crime']]"
453,12090,"[['Comedy', 'Romance']]"
454,10147,"[['Drama', 'Comedy', 'Crime']]"
455,9257,"[['Action', 'Thriller', 'Crime']]"
456,2055,"[['Western', 'Action', 'Drama']]"
457,4464,"[['Drama', 'History']]"
458,83,"[['Drama', 'Thriller', 'Horror']]"
459,277,"[['Fantasy', 'Action', 'Thriller']]"
460,14873,"[['Family', 'Animation', 'Adventure']]"
461,1428,"[['Action', 'Drama', 'Mystery']]"
462,504,"[['Crime', 'Drama']]"
463,18736,"[['Family', 'Comedy']]"
464,10934,"[['Romance', 'Comedy']]"
465,9480,"[['Fantasy', 'Action']]"
466,2832,"[['Mystery', 'Thriller']]"
467,10727,"[['Thriller', 'Horror']]"
468,8696,"[['Drama', 'Comedy']]"
469,9358,"[['Horror', 'Mystery']]"
470,10923,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Romance']]"
471,508,"[['Comedy', 'Romance', 'Drama']]"
472,4970,"[['Horror', 'Thriller']]"
473,13411,"[['Comedy', 'Crime']]"
474,11351,[['Horror']]
475,13920,[['Drama']]
476,14926,"[['Family', 'Comedy', 'Drama']]"
477,2289,"[['Drama', 'War', 'History', 'Adventure', 'Romance']]"
478,10028,"[['Music', 'Drama', 'Romance']]"
479,13156,"[['Family', 'Comedy']]"
480,10735,"[['Comedy', 'Romance', 'Drama', 'Family']]"
481,6038,"[['Action', 'Adventure', 'Comedy', 'Western']]"
482,10623,"[['Action', 'Crime', 'Drama']]"
483,8961,"[['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']]"
484,10152,[['Comedy']]
485,10628,"[['Family', 'Comedy', 'Adventure', 'Crime']]"
486,1647,"[['Action', 'Thriller']]"
487,13778,[['Comedy']]
488,2662,"[['Horror', 'Crime']]"
489,2056,"[['Drama', 'Comedy']]"
490,10744,"[['Romance', 'Drama']]"
491,9776,[['Comedy']]
492,630586,"[['Horror', 'Thriller']]"
493,11023,[['Drama']]
494,1550,"[['Comedy', 'Drama']]"
495,2830,"[['Comedy', 'Romance']]"
496,10105,"[['War', 'Drama', 'Action', 'Adventure', 'History']]"
497,15708,"[['Drama', 'Comedy', 'Romance']]"
498,3635,"[['Drama', 'Romance']]"
499,20210,"[['Action', 'Comedy', 'Adventure']]"
500,11820,"[['Drama', 'History', 'Romance']]"
501,1807,"[['Crime', 'Drama']]"
502,11059,"[['Horror', 'Action', 'Thriller']]"
503,12253,"[['Action', 'Drama']]"
504,13132,"[['Drama', 'Romance']]"
505,10743,"[['Action', 'Comedy', 'Thriller', 'Crime', 'Mystery']]"
506,587,"[['Adventure', 'Fantasy', 'Drama']]"
507,22958,"[['Comedy', 'Drama', 'Romance']]"
