,IMDB_ID,original_title,year,date_published,genre 1 kaggle,genre 2 kaggle,genre 3 kaggle,duration,country,language_1,language_2,language_3,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,Budget - Inflation Adjusted, budget , USA Gross Income - Inflation Adjusted , usa_gross_income , WW Gross Income - Inflation Adjusted , worlwide_gross_income ,reviews_from_users,Unnamed: 0,Revenue,Release Date,Runtime,Original Title,ID.1,Popularity,Vote Average,Budget,Genre List,Vote Count
1774,tt1247690,Serena,2014,30/10/2014,Drama, History, Romance,109,"Czech Republic, France, USA",English,,,Susanne Bier,"Christopher Kyle, Ron Rash","Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones, David Dencik, Sean Harris, Ana Ularu, Sam Reid, Conleth Hill, Charity Wakefield, Douglas Hodge, Kim Bodnia, Christian McKay, Philip Zandén, Ned Dennehy",Bradley Cooper,"Bradley Cooper, Jennifer Lawrence","In Depression-era North Carolina, the future of George Pemberton's timber empire becomes complicated when he marries Serena.","In Depression-era North Carolina,",5.4,26464,"$32,797,419.91 ","$30,000,000.00 ","$192,838.99 ","$176,391.00 ","$5,566,956.44 ","$5,092,129.00 ",99.0,2564,5092129,10/12/14,102,Serena,164251,13.077,5.6,30000000,[['Drama']],940
1775,tt1247692,Shrink,2009,6/8/09,Comedy, Drama,,104,USA,English,,,Jonas Pate,"Thomas Moffett, Henry Reardon","Kevin Spacey, Joe Nunez, Mark Webber, Keke Palmer, Sierra Aylina McClain, Ada Luz Pla, Saffron Burrows, Jack Huston, Pell James, Mei Melançon, Dallas Roberts, Andrew Sibner, Troy Metcalf, Kendall Clement, Jesse Plemons",Kevin Spacey,"Kevin Spacey, Joe Nunez","Unable to cope with a recent personal tragedy, LA's top celebrity shrink turns into a pothead with no concern for his appearance and a creeping sense of his inability to help his patients.",Unable to cope with a recent personal,6.6,18148,"$6,152,486.98 ","$5,100,000.00 ","$228,753.09 ","$189,621.00 ","$366,050.05 ","$303,431.00 ",46.0,1693,0,7/24/09,104,Shrink,22640,11.319,6.1,5100000,"[['Comedy', 'Drama']]",185
1776,tt1250777,Kick-Ass,2010,1/4/11,Action, Comedy, Crime,117,"UK, USA, China",English,,,Matthew Vaughn,"Jane Goldman, Matthew Vaughn","Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss, Lyndsy Fonseca, Sophie Wu, Elizabeth McGovern, Christopher Mintz-Plasse, Stu 'Large' Riley, Johnny Hopkins, Ohene Cornelius, Mark Strong, Michael Rispoli, Corey Johnson, Kenneth Simmons",Aaron Taylor-Johnson,Aaron Taylor-Johnson,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Dave Lizewski is an unnoticed,7.6,517708,"$35,607,045.90 ","$30,000,000.00 ","$57,055,903.07 ","$48,071,303.00 ","$114,166,756.13 ","$96,188,903.00 ",843.0,1806,96188903,3/22/10,117,Kick-Ass,23483,59.755,7.116,28000000,"[['Action', 'Crime']]",10657
1777,tt1251757,Middle Men,2009,6/8/10,Comedy, Crime, Drama,105,USA,English,,,George Gallo,"George Gallo, Andy Weiss","Luke Wilson, Giovanni Ribisi, Gabriel Macht, James Caan, Jacinda Barrett, Kevin Pollak, Laura Ramsey, Rade Serbedzija, Terry Crews, Kelsey Grammer, Graham McTavish, Robert Forster, John Ashton, Jason Antoon, Martin Kove",Luke Wilson,"Luke Wilson, Giovanni Ribisi","Chronicles Jack Harris, one of the pioneers of internet commerce, as he wrestles with his morals, and struggles not to drown in a sea of con men, mobsters, drug addicts, and porn stars.","Chronicles Jack Harris, one of",6.8,36283,"$24,127,399.94 ","$20,000,000.00 ","$909,966.09 ","$754,301.00 ","$909,966.09 ","$754,301.00 ",44.0,1722,0,5/17/09,105,Middle Men,38842,19.188,6.502,22000000,"[['Drama', 'Comedy', 'Crime']]",262
1778,tt1253863,300: Rise of an Empire,2014,6/3/14,Action, Drama,,102,USA,English,,,Noam Murro,"Zack Snyder, Kurt Johnstad","Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Callan Mulvey, David Wenham, Rodrigo Santoro, Jack O'Connell, Andrew Tiernan, Igal Naor, Andrew Pleavin, Peter Mensah, Ben Turner, Ashraf Barhom, Christopher Sciueref",Sullivan Stapleton,"Sullivan Stapleton, Eva Green","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",Greek general Themistokles leads,6.2,276636,"$120,257,206.34 ","$110,000,000.00 ","$116,518,356.23 ","$106,580,051.00 ","$369,058,489.54 ","$337,580,051.00 ",583.0,2530,337580051,3/5/14,102,300: Rise of an Empire,53182,82.54,6.09,110000000,"[['Action', 'Drama', 'War']]",5869
1779,tt1253864,Immortals,2011,11/11/11,Action, Drama, Fantasy,110,"USA, Canada, UK",English,Greek,,Tarsem Singh,"Charley Parlapanides, Vlas Parlapanides","Henry Cavill, Mickey Rourke, Stephen Dorff, Freida Pinto, Luke Evans, John Hurt, Joseph Morgan, Anne Day-Jones, Greg Bryk, Alan Van Sprang, Peter Stebbings, Daniel Sharman, Isabel Lucas, Kellan Lutz, Steve Byers",Henry Cavill,"Henry Cavill, Mickey Rourke","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",Theseus is a mortal man chosen,6.0,158793,"$86,293,728.52 ","$75,000,000.00 ","$96,078,306.31 ","$83,504,017.00 ","$261,071,915.25 ","$226,904,017.00 ",435.0,1987,226904017,11/10/11,110,Immortals,37958,27.373,5.94,75000000,"[['Fantasy', 'Action', 'Drama']]",2258
1780,tt1258972,The Man with the Iron Fists,2012,9/5/13,Action,,,95,"USA, Hong Kong",English,Mandarin,,RZA,"RZA, RZA","RZA, Rick Yune, Russell Crowe, Lucy Liu, Dave Bautista, Jamie Chung, Cung Le, Byron Mann, Daniel Wu, Zhu Zhu, Chia-Hui Liu, Andrew Ng, Kuan Tai Chen, Yoyao Hsueh, Telly Liu",RZA,"RZA, Rick Yune, Russell Crowe","On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",On the hunt for a fabled treasure,5.4,59920,"$16,908,826.01 ","$15,000,000.00 ","$17,623,607.18 ","$15,634,090.00 ","$23,161,166.54 ","$20,546,518.00 ",254.0,2157,20546518,11/2/12,96,The Man with the Iron Fists,97430,17.489,5.503,15000000,[['Action']],999
1781,tt1259521,The Cabin in the Woods,2011,18/05/2012,Horror,,,95,USA,English,Japanese,,Drew Goddard,"Joss Whedon, Drew Goddard","Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams, Richard Jenkins, Bradley Whitford, Brian White, Amy Acker, Tim DeZarn, Tom Lenk, Dan Payne, Jodelle Ferland, Dan Shea, Maya Massar",Kristen Connolly,"Kristen Connolly, Chris Hemsworth","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Five friends go for a break at,7.0,366795,"$34,517,491.41 ","$30,000,000.00 ","$48,408,799.25 ","$42,073,277.00 ","$80,466,715.74 ","$69,935,600.00 ",1210.0,1980,71041255,4/12/12,95,The Cabin in the Woods,22970,51.758,6.599,30000000,"[['Horror', 'Fantasy']]",6999
1782,tt1259528,Den of Thieves,2018,5/4/18,Action, Crime, Drama,140,USA,English,Polynesian,Spanish,Christian Gudegast,"Christian Gudegast, Christian Gudegast","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent, Meadow Williams, Maurice Compte, Brian Van Holt, Evan Jones, Mo McRae, Kaiwi Lyman, Dawn Olivieri, Eric Braeden, Jordan Bridges, Lewis Tan, Cooper Andrews",Gerard Butler,"Gerard Butler, Pablo Schreiber",An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,An elite unit of the LA County,7.0,88814,"$30,920,404.45 ","$30,000,000.00 ","$46,326,621.71 ","$44,947,622.00 ","$82,979,669.14 ","$80,509,622.00 ",516.0,3074,80509622,1/18/18,140,Den of Thieves,449443,53.221,6.759,30000000,"[['Action', 'Thriller', 'Crime']]",2494
1783,tt1259571,The Twilight Saga: New Moon,2009,18/11/2009,Adventure, Drama, Fantasy,130,USA,English,Italian,,Chris Weitz,"Melissa Rosenberg, Stephenie Meyer","Kristen Stewart, Christina Jastrzembska, Robert Pattinson, Billy Burke, Anna Kendrick, Michael Welch, Justin Chon, Christian Serratos, Taylor Lautner, Ashley Greene, Jackson Rathbone, Russell Roberts, Cam Gigandet, Michael Sheen, Jamie Campbell Bower",Kristen Stewart,"Kristen Stewart, Christina Jastrzembska","Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",Edward leaves Bella after an attack,4.7,260695,"$60,318,499.84 ","$50,000,000.00 ","$359,276,592.17 ","$297,816,253.00 ","$857,759,807.23 ","$711,025,481.00 ",960.0,1568,709827462,11/18/09,131,The Twilight Saga: New Moon,18239,89.191,6.011,50000000,"[['Adventure', 'Fantasy', 'Drama', 'Romance']]",8352
