ID,ID,Budget,Popularity,Release Date,Revenue,Runtime,Vote Average,Vote Count,IMDB
207,10972,1500000,13.368,2001-08-10,1612259,100,6.134,769,tt0261983
208,10878,22000000,14.842,2001-02-09,19351569,90,5.525,451,tt0239948
209,13403,0,13.705,2001-07-20,0,95,7.47,313,tt0248845
210,768,35000000,29.048,2001-02-08,74558115,122,6.688,2465,tt0120681
211,24940,14000000,12.047,2001-02-02,13127022,86,5.727,209,tt0192111
212,10615,0,10.697,2001-06-29,0,81,5.051,128,tt0258038
213,15192,0,10.695,2001-09-13,0,108,6.6,132,tt0252480
214,141,6000000,44.928,2001-10-24,7500000,114,7.783,11086,tt0246578
215,2171,5000000,10.921,2001-07-27,295206,97,6.3,682,tt0243655
216,10796,49000000,26.295,2001-11-02,72689126,87,6.12,1353,tt0267804
217,20794,6000000,9.497,2001-11-23,2025238,95,5.987,118,tt0234354
218,11313,31000000,18.825,2001-09-07,24185781,101,6.774,447,tt0252501
219,2575,21000000,14.438,2001-03-30,28008462,109,6.1,404,tt0236784
220,185789,0,8.466,1999-01-01,0,88,7.84,415,tt1619856
221,2084,13000000,12.25,2001-09-06,0,93,5.886,350,tt0188453
222,9683,0,13.109,2001-08-24,0,84,5.699,497,tt0258470
223,9476,65000000,28.867,2001-05-11,117487473,132,6.9,2679,tt0183790
224,10984,10000000,16.218,2001-02-02,16300000,96,5.458,467,tt0242998
225,14369,24000000,14.703,2001-11-21,14782676,89,5.877,150,tt0253798
226,10050,22000000,12.627,2001-03-08,0,86,5.626,250,tt0192071
227,11457,18000000,13.086,2001-10-25,0,125,7.092,352,tt0264796
228,2144,0,11.301,2001-04-19,0,93,5.783,283,tt0203755
229,2176,30000000,16.523,2001-09-14,23619609,107,5.856,849,tt0221218
230,10778,20000000,12.692,2001-10-26,0,116,7.565,1348,tt0243133
231,11370,40000000,13.475,2001-09-07,27053815,104,5.371,194,tt0246544
232,647117,0,12.552,2019-08-06,0,73,0.0,0,
233,26602,34000000,12.005,2001-08-22,19693891,104,5.371,162,tt0234829
234,1921,40000000,19.094,2001-02-16,65754228,119,6.866,1144,tt0230838
235,5955,35000000,12.213,2001-01-19,29419291,123,6.554,839,tt0237572
236,336004,8900000,19.821,2015-11-13,4100000,93,6.096,821,tt3276924
237,11469,50000000,17.012,2001-11-21,33422806,95,5.395,981,tt0265087
238,853,68000000,33.244,2001-03-14,96976270,131,7.386,3102,tt0215750
239,167,48000000,17.838,2001-10-22,50315140,120,7.188,2057,tt0272152
240,10696,22000000,7.898,2001-09-21,5271666,104,4.6,122,tt0118589
241,11091,48000000,14.517,2001-10-19,35743308,132,6.828,398,tt0200027
242,9989,30000000,14.696,2001-01-11,18195610,108,5.997,443,tt0218817
243,10016,28000000,16.405,2001-08-24,14010832,98,5.158,926,tt0228333
244,20309,25000000,10.263,2001-03-10,12320393,95,4.761,140,tt0239949
245,644,100000000,33.756,2001-06-29,235926552,146,7.039,5514,tt0212720
246,13496,35000000,15.835,2001-08-17,13678913,94,6.058,207,tt0244000
247,4965,40000000,12.914,2001-12-03,8694320,102,6.134,357,tt0160399
248,19366,22000000,13.714,2001-04-06,0,98,5.467,261,tt0236348
249,2057,42000000,27.241,2001-05-08,35402320,118,6.074,700,tt0218922
250,2779,0,12.942,2001-08-05,0,103,6.6,671,tt0256524
251,6440,38000000,12.649,2001-12-18,24690441,111,6.337,325,tt0120824
252,14034,60000000,13.207,2001-05-31,38400000,94,5.401,258,tt0161083
253,5852,53000000,16.799,2001-05-15,29700000,102,6.075,372,tt0225071
254,11456,75000000,16.12,2001-10-28,54249294,89,5.8,349,tt0249478
255,56715,35000000,14.742,2001-04-06,16176732,88,4.631,582,tt0189192
256,1722,57000000,16.733,2001-04-18,62112895,131,5.934,454,tt0238112
257,9705,102000000,26.379,2001-06-07,147080413,99,6.214,2334,tt0244244
258,3172,75000000,18.683,2001-10-12,67631903,123,6.279,847,tt0219965
259,2749,60000000,14.24,2001-03-01,56359980,120,5.928,616,tt0179626
260,10865,120000000,40.058,2001-06-02,186053725,95,6.972,4171,tt0230011
261,12508,57000000,18.862,2001-09-04,19334145,105,6.7,635,tt0202470
262,9397,80000000,22.165,2001-06-08,98376292,101,6.053,1932,tt0251075
263,11086,72000000,12.508,2001-12-21,37317558,152,6.787,626,tt0268995
264,12138,62000000,14.346,2001-02-23,18720175,125,5.816,544,tt0233142
265,8489,107000000,17.825,2001-12-10,87713825,157,6.774,1482,tt0248667
266,1535,115000000,19.155,2001-11-18,143049560,126,6.925,1794,tt0266987
267,2100,72000000,24.356,2001-10-19,27642707,131,7.115,1066,tt0272020
268,12610,75000000,20.32,2001-08-10,13596911,95,6.504,907,tt0181739
269,10477,94000000,15.559,2001-04-27,54744738,116,5.162,611,tt0132245
270,23685,75000000,16.693,2001-02-23,5409517,93,5.148,274,tt0166276
271,2114,137000000,18.446,2001-07-02,85131830,106,6.2,1279,tt0173840
272,634649,200000000,504.98,2021-12-15,1921847111,148,8.011,17004,tt10872600
273,121,79000000,103.901,2002-12-18,926287400,179,8.376,19480,tt0167261
274,8346,5000000,12.868,2002-02-22,368744044,95,6.479,1877,tt0259446
275,1894,120000000,42.838,2002-05-15,649398328,142,6.546,11815,tt0121765
276,672,100000000,223.654,2002-11-13,876688482,161,7.723,19625,tt0295297
277,2675,72000000,31.965,2002-08-02,408247917,106,6.668,4902,tt0286106
278,818,63000000,31.471,2002-07-26,296938801,93,5.993,2736,tt0295178
279,1574,45000000,22.685,2002-12-10,306776732,113,7.1,2268,tt0299658
280,425,59000000,180.746,2002-03-10,383257136,81,7.342,11843,tt0268380
281,640,52000000,89.393,2002-12-16,352114312,141,7.962,13664,tt0264464
282,11529,30000000,21.792,2002-09-26,180622424,108,6.39,1335,tt0256415
283,565,48000000,42.854,2002-10-18,249348933,115,6.646,5445,tt0298130
284,2022,50000000,23.081,2002-06-28,171269535,96,5.826,1967,tt0280590
285,65,41000000,39.547,2002-11-08,242875078,111,7.123,6393,tt0298203
286,9021,65000000,17.507,2002-10-31,172842355,104,5.9,1127,tt0304669
287,7451,70000000,47.009,2002-08-09,277448382,124,5.91,3735,tt0295701
288,9637,84000000,78.698,2002-06-14,275650703,88,6.05,3894,tt0267913
289,11544,80000000,78.531,2002-06-21,273144151,85,7.505,5411,tt0275847
290,10611,12000000,21.984,2002-04-01,77063924,102,6.334,386,tt0303714
291,2501,60000000,37.379,2002-06-14,214034224,119,7.452,8271,tt0258463
292,608,140000000,40.836,2002-07-03,445135288,88,6.355,8884,tt0120912
293,14635,20000000,13.785,2002-03-25,75597042,127,6.753,371,tt0265662
294,4614,68000000,20.348,2002-05-31,193921372,124,6.3,1475,tt0164184
295,4547,48000000,22.304,2002-03-29,197079546,111,6.747,4338,tt0258000
296,11888,35000000,20.875,2002-01-18,81000000,99,5.652,649,tt0281373
297,9488,38000000,42.792,2002-08-07,119723358,100,5.578,1910,tt0287717
298,9583,27000000,10.987,2002-06-07,73839240,116,6.1,200,tt0279778
299,7303,55000000,21.328,2002-12-13,154906693,105,6.093,1686,tt0252076
300,13497,20000000,23.184,2002-12-13,57588485,118,6.873,424,tt0303933
301,8470,36000000,40.312,2002-02-15,102244770,116,7.101,2075,tt0251160
302,2755,30000000,13.969,2002-12-12,105834556,125,6.826,1050,tt0257360
303,1817,13000000,22.943,2003-04-04,97837138,81,6.834,3237,tt0183649
304,11870,15000000,17.68,2002-02-08,52970014,88,5.847,714,tt0265298
305,2642,60000000,22.992,2002-12-19,199043242,101,6.361,1822,tt0313737
306,9334,60000000,28.608,2002-04-18,165333180,92,5.558,2765,tt0277296
307,180,102000000,31.577,2002-06-20,358372926,145,7.333,7655,tt0181689
308,10229,11800000,41.348,2002-01-25,47494916,101,7.743,3677,tt0281358
309,16690,20000000,29.704,2002-02-14,109862682,72,6.494,2155,tt0280030
310,36586,54000000,39.58,2002-03-22,155010032,117,6.514,4148,tt0187738
311,15392,0,22.825,1986-03-14,5738952,99,7.348,346,tt0090888
312,4147,80000000,25.961,2002-07-12,181001478,117,7.358,3162,tt0257044
313,13908,16000000,12.374,2002-08-02,43411001,80,4.059,246,tt0295427
314,10426,20000000,14.437,2002-11-22,33526835,85,6.254,341,tt0293815
315,11857,0,10.413,2002-01-10,0,82,6.043,387,tt0273923
316,1537,45000000,17.546,2002-04-07,94935764,99,6.241,934,tt0264472
317,21972,30000000,19.195,2002-07-03,0,99,6.104,431,tt0308506
318,320,46000000,20.866,2002-05-24,113714830,118,6.93,4052,tt0278504
319,2752,17000000,11.729,2002-03-01,0,94,5.478,987,tt0243736
