Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote,Year,Row Labels,
"I, Frankenstein",-45924710,19075290,65000000,5.1,2014,"I, Frankenstein",
Winter's Tale,-47399769,12600231,60000000,6.2,2014,Winter's Tale,
Penguins of Madagascar,-48149089,83850911,132000000,6.7,2014,Penguins of Madagascar,
The Expendables 3,-50677456,39322544,90000000,6.1,2014,The Expendables 3,
The Legend of Hercules,-51151462,18848538,70000000,4.2,2014,The Legend of Hercules,
Sin City: A Dame to Kill For,-51242196,13757804,65000000,6.5,2014,Sin City: A Dame to Kill For,
Exodus: Gods and Kings,-74985487,65014513,140000000,6,2014,Exodus: Gods and Kings,
Pompeii,-76780252,23219748,100000000,5.5,2014,Pompeii,
Transcendence,-76977691,23022309,100000000,6.3,2014,Transcendence,
Seventh Son,-77776735,17223265,95000000,5.5,2014,Seventh Son,
Edge of Tomorrow,-77793744,100206256,178000000,7.9,2014,Edge of Tomorrow,
Star Wars: Episode VII - The Force Awakens,691662225,936662225,245000000,7.9,2015,Star Wars: Episode VII - The Force Awakens,
Jurassic World,502270625,652270625,150000000,7,2015,Jurassic World,
Minions,262045770,336045770,74000000,6.4,2015,Minions,
Avengers: Age of Ultron,209005868,459005868,250000000,7.3,2015,Avengers: Age of Ultron,
Inside Out,181921711,356921711,175000000,8.1,2015,Inside Out,
Fast & Furious 7,163007020,353007020,190000000,7.1,2015,Fast & Furious 7,
Pitch Perfect 2,155296230,184296230,29000000,6.4,2015,Pitch Perfect 2,
Straight Outta Compton,133197785,161197785,28000000,7.8,2015,Straight Outta Compton,
Fifty Shades of Grey,126167230,166167230,40000000,4.1,2015,Fifty Shades of Grey,
The Hunger Games: Mockingjay - Part 2,121723902,281723902,160000000,6.5,2015,The Hunger Games: Mockingjay - Part 2,
The Martian,120433663,228433663,108000000,8,2015,The Martian,
Cinderella,106151353,201151353,95000000,6.9,2015,Cinderella,
Daddy's Home,100357137,150357137,50000000,6.2,2015,Daddy's Home,
Hotel Transylvania 2,89700110,169700110,80000000,6.7,2015,Hotel Transylvania 2,
The SpongeBob Movie: Sponge Out of Water,88994032,162994032,74000000,6,2015,The SpongeBob Movie: Sponge Out of Water,
Trainwreck,75212700,110212700,35000000,6.2,2015,Trainwreck,
Creed,74767581,109767581,35000000,7.6,2015,Creed,
War Room,64790117,67790117,3000000,6.5,2015,War Room,
The Visit,60206105,65206105,5000000,6.2,2015,The Visit,
Sisters,57044645,87044645,30000000,6,2015,Sisters,
Magic Mike XXL,51213057,66013057,14800000,5.6,2015,Magic Mike XXL,
Get Hard,50411453,90411453,40000000,6,2015,Get Hard,
Ant-Man,50202163,180202163,130000000,7.3,2015,Ant-Man,
The Revenant,48637894,183637894,135000000,8,2015,The Revenant,
Spy,45825712,110825712,65000000,7,2015,Spy,
San Andreas,45190832,155190832,110000000,6.1,2015,San Andreas,
Mission: Impossible - Rogue Nation,45042377,195042377,150000000,7.4,2015,Mission: Impossible - Rogue Nation,
Home,42397510,177397510,135000000,6.6,2015,Home,
The Big Short,42259870,70259870,28000000,7.8,2015,The Big Short,
Insidious: Chapter 3,42218558,52218558,10000000,6.1,2015,Insidious: Chapter 3,
The Wedding Ringer,41460211,64460211,23000000,6.6,2015,The Wedding Ringer,
Paul Blart: Mall Cop 2,41038190,71038190,30000000,4.4,2015,Paul Blart: Mall Cop 2,
The Intern,40764672,75764672,35000000,7.1,2015,The Intern,
The Gift,38787265,43787265,5000000,7,2015,The Gift,
Bridge of Spies,32313754,72313754,40000000,7.6,2015,Bridge of Spies,
The Boy Next Door,31423380,35423380,4000000,4.7,2015,The Boy Next Door,
The Peanuts Movie,31178411,130178411,99000000,7.1,2015,The Peanuts Movie,
Vacation,27884188,58884188,31000000,6.1,2015,Vacation,
Krampus,27725475,42725475,15000000,6.1,2015,Krampus,
"McFarland, USA",27482410,44482410,17000000,7.4,2015,"McFarland, USA",
Brooklyn,27322743,38322743,11000000,7.5,2015,Brooklyn,
The Duff,25530343,34030343,8500000,6.5,2015,The Duff,
Spotlight,25055776,45055776,20000000,8.1,2015,Spotlight,
The Second Best Exotic Marigold Hotel,23078266,33078266,10000000,6.6,2015,The Second Best Exotic Marigold Hotel,
The Gallows,22664410,22764410,100000,4.2,2015,The Gallows,
Max,22656255,42656255,20000000,6.7,2015,Max,
The Lazarus Effect,22501570,25801570,3300000,5.2,2015,The Lazarus Effect,
Southpaw,22421953,52421953,30000000,7.4,2015,Southpaw,
Goosebumps,22080379,80080379,58000000,6.3,2015,Goosebumps,
A Walk in the Woods,21504281,29504281,8000000,6.3,2015,A Walk in the Woods,
The VVitch: A New-England Folktale,21138705,25138705,4000000,6.9,2015,The VVitch: A New-England Folktale,
Maze Runner: The Scorch Trials,20697192,81697192,61000000,6.3,2015,Maze Runner: The Scorch Trials,
Insurgent,20179072,130179072,110000000,6.2,2015,Insurgent,
Paper Towns,20000304,32000304,12000000,6.3,2015,Paper Towns,
The Night Before,18047372,43047372,25000000,6.4,2015,The Night Before,
Sinister 2,17740955,27740955,10000000,5.3,2015,Sinister 2,
The Age of Adaline,17629776,42629776,25000000,7.2,2015,The Age of Adaline,
Sicario,16889293,46889293,30000000,7.6,2015,Sicario,
Ted 2,13476385,81476385,68000000,6.3,2015,Ted 2,
"Hello, My Name Is Doris",13444999,14444999,1000000,6.6,2015,"Hello, My Name Is Doris",
Poltergeist,12425125,47425125,35000000,4.9,2015,Poltergeist,
No Escape,11088872,27288872,16200000,6.8,2015,No Escape,
Dope,10506470,17506470,7000000,7.2,2015,Dope,
Project Almanac,10348241,22348241,12000000,6.4,2015,Project Almanac,
The Hateful Eight,10117416,54117416,44000000,7.8,2015,The Hateful Eight,
Black Mass,9575678,62575678,53000000,6.9,2015,Black Mass,
Love the Coopers,9302731,26302731,17000000,5.8,2015,Love the Coopers,
Ricki and the Flash,8822144,26822144,18000000,5.9,2015,Ricki and the Flash,
Paranormal Activity: The Ghost Dimension,8300124,18300124,10000000,4.6,2015,Paranormal Activity: The Ghost Dimension,
Hardcore Henry,7252038,9252038,2000000,6.7,2015,Hardcore Henry,
Mr. Holmes,6737646,17737646,11000000,6.9,2015,Mr. Holmes,
Grandma,6380524,6980524,600000,6.7,2015,Grandma,
Focus,3762963,53862963,50100000,6.6,2015,Focus,
The Longest Ride,3446117,37446117,34000000,7.1,2015,The Longest Ride,
Entourage,2363404,32363404,30000000,6.6,2015,Entourage,
Room,1677654,14677654,13000000,8.1,2015,Room,
We Are Your Friends,1591417,3591417,2000000,6.2,2015,We Are Your Friends,
The Meddler,1067218,4267218,3200000,6.3,2015,The Meddler,
Carol,911491,12711491,11800000,7.2,2015,Carol,
Secret in Their Eyes,680155,20180155,19500000,6.3,2015,Secret in Their Eyes,
Tangerine,602354,702354,100000,7.1,2015,Tangerine,
Hot Pursuit,-419799,34580201,35000000,5.1,2015,Hot Pursuit,
Concussion,-457526,34542474,35000000,7.1,2015,Concussion,
The Diary of a Teenage Girl,-522998,1477002,2000000,6.9,2015,The Diary of a Teenage Girl,
Cop Car,-665448,134552,800000,6.3,2015,Cop Car,
Me and Earl and the Dying Girl,-1241584,6758416,8000000,7.7,2015,Me and Earl and the Dying Girl,
Hot Tub Time Machine 2,-1685349,12314651,14000000,5.1,2015,Hot Tub Time Machine 2,
Green Room,-1779629,3220371,5000000,7,2015,Green Room,
The D Train,-2326849,673151,3000000,5,2015,The D Train,
Knock Knock,-2463664,36336,2500000,4.9,2015,Knock Knock,
Joy,-3548768,56451232,60000000,6.6,2015,Joy,
The Danish Girl,-3885982,11114018,15000000,7.1,2015,The Danish Girl,
Alvin and the Chipmunks: The Road Chip,-4113013,85886987,90000000,5,2015,Alvin and the Chipmunks: The Road Chip,
Anomalisa,-4240714,3759286,8000000,7.3,2015,Anomalisa,
Danny Collins,-4362934,5637066,10000000,7,2015,Danny Collins,
Area 51,-4992444,7556,5000000,4.2,2015,Area 51,
Mississippi Grind,-5869459,130541,6000000,6.4,2015,Mississippi Grind,
Beasts of No Nation,-5909223,90777,6000000,7.7,2015,Beasts of No Nation,
The Man Who Knew Infinity,-6133206,3866794,10000000,7.2,2015,The Man Who Knew Infinity,
The Vatican Tapes,-6215237,1784763,8000000,4.8,2015,The Vatican Tapes,
Burnt,-6348054,13651946,20000000,6.6,2015,Burnt,
Freeheld,-6426665,573335,7000000,6.6,2015,Freeheld,
Irrational Man,-6969640,4030360,11000000,6.6,2015,Irrational Man,
Truth,-7058146,2541854,9600000,6.8,2015,Truth,
Trumbo,-7142259,7857741,15000000,7.5,2015,Trumbo,
Eddie the Eagle,-7210611,15789389,23000000,7.4,2015,Eddie the Eagle,
Z for Zachariah,-7378539,121461,7500000,6,2015,Z for Zachariah,
Mr. Right,-7965306,34694,8000000,6.3,2015,Mr. Right,
Demolition,-8021408,1978592,10000000,7,2015,Demolition,
Heist,-8849864,50136,8900000,6.1,2015,Heist,
Pixels,-9252415,78747585,88000000,5.5,2015,Pixels,
By the Sea,-9461540,538460,10000000,5.3,2015,By the Sea,
Louder Than Bombs,-10836193,163807,11000000,6.6,2015,Louder Than Bombs,
Scouts Guide to the Zombie Apocalypse,-11296954,3703046,15000000,6.3,2015,Scouts Guide to the Zombie Apocalypse,
Everest,-11517730,43482270,55000000,7.1,2015,Everest,
Rock the Kasbah,-11979336,3020664,15000000,5.5,2015,Rock the Kasbah,
Steve Jobs,-12233342,17766658,30000000,7.2,2015,Steve Jobs,
Hitman: Agent 47,-12532550,22467450,35000000,5.7,2015,Hitman: Agent 47,
Little Boy,-13514039,6485961,20000000,7.4,2015,Little Boy,
American Ultra,-13559015,14440985,28000000,6.1,2015,American Ultra,
Self/less,-13720309,12279691,26000000,6.5,2015,Self/less,
The 33,-13772278,12227722,26000000,6.9,2015,The 33,
Macbeth,-13889293,1110707,15000000,6.6,2015,Macbeth,
Colonia,-13984291,15709,14000000,7.1,2015,Colonia,
Barely Lethal,-14993925,6075,15000000,5.4,2015,Barely Lethal,
Aloha,-15932884,21067116,37000000,5.4,2015,Aloha,
Equals,-15966742,33258,16000000,6.1,2015,Equals,
Chappie,-17430732,31569268,49000000,6.8,2015,Chappie,
Dark Places,-19791412,208588,20000000,6.2,2015,Dark Places,
Our Brand Is Crisis,-20997739,7002261,28000000,6.1,2015,Our Brand Is Crisis,
Jane Got a Gun,-23486207,1513793,25000000,5.9,2015,Jane Got a Gun,
Run All Night,-23538356,26461644,50000000,6.6,2015,Run All Night,
Crimson Peak,-23909680,31090320,55000000,6.5,2015,Crimson Peak,
Unfinished Business,-24780499,10219501,35000000,5.4,2015,Unfinished Business,
The Walk,-24862498,10137502,35000000,7.3,2015,The Walk,
The Sea of Trees,-24979556,20444,25000000,6.1,2015,The Sea of Trees,
Legend,-28127006,1872994,30000000,6.9,2015,Legend,
The Gunman,-29335251,10664749,40000000,5.8,2015,The Gunman,
Bilal: A New Breed of Hero,-29509027,490973,30000000,7.9,2015,Bilal: A New Breed of Hero,
The Man from U.N.C.L.E.,-29554891,45445109,75000000,7.3,2015,The Man from U.N.C.L.E.,
Spectre,-44925391,200074609,245000000,6.8,2015,Spectre,
Child 44,-48775670,1224330,50000000,6.5,2015,Child 44,
Mortdecai,-52303866,7696134,60000000,5.5,2015,Mortdecai,
Victor Frankenstein,-59224924,5775076,65000000,6,2015,Victor Frankenstein,
Blackhat,-61994020,8005980,70000000,5.4,2015,Blackhat,
The Last Witch Hunter,-62632340,27367660,90000000,6,2015,The Last Witch Hunter,
Fantastic Four,-63882452,56117548,120000000,4.3,2015,Fantastic Four,
Terminator Genisys,-65239044,89760956,155000000,6.3,2015,Terminator Genisys,
In the Heart of the Sea,-74979242,25020758,100000000,6.9,2015,In the Heart of the Sea,
Point Break,-76217519,28782481,105000000,5.3,2015,Point Break,
The Good Dinosaur,-76912880,123087120,200000000,6.7,2015,The Good Dinosaur,
Le Petit Prince,-79860848,1339152,81200000,7.7,2015,Le Petit Prince,
Tomorrowland,-96563678,93436322,190000000,6.4,2015,Tomorrowland,
Pan,-114911680,35088320,150000000,5.7,2015,Pan,
Jupiter Ascending,-128612277,47387723,176000000,5.3,2015,Jupiter Ascending,
Rogue One,332177324,532177324,200000000,7.8,2016,Rogue One,
Deadpool,305070709,363070709,58000000,8,2016,Deadpool,
The Secret Life of Pets,293384330,368384330,75000000,6.5,2016,The Secret Life of Pets,
Finding Dory,286295561,486295561,200000000,7.3,2016,Finding Dory,
Sing,195395425,270395425,75000000,7.1,2016,Sing,
Zootopia,191268248,341268248,150000000,8,2016,Zootopia,
The Jungle Book,189001123,364001123,175000000,7.4,2016,The Jungle Book,
Captain America: Civil War,158084349,408084349,250000000,7.8,2016,Captain America: Civil War,
Suicide Squad,150100054,325100054,175000000,6,2016,Suicide Squad,
Hidden Figures,144607287,169607287,25000000,7.8,2016,Hidden Figures,
Split,129291365,138291365,9000000,7.3,2016,Split,
La La Land,121101803,151101803,30000000,8,2016,La La Land,
Moana,98757044,248757044,150000000,7.6,2016,Moana,
Bad Moms,93257297,113257297,20000000,6.2,2016,Bad Moms,
Batman v Superman: Dawn of Justice,80360194,330360194,250000000,6.4,2016,Batman v Superman: Dawn of Justice,
Don't Breathe,79317875,89217875,9900000,7.1,2016,Don't Breathe,
Sausage Party,78685686,97685686,19000000,6.1,2016,Sausage Party,
Central Intelligence,77440871,127440871,50000000,6.3,2016,Central Intelligence,
The Purge: Election Year,69213375,79213375,10000000,6,2016,The Purge: Election Year,
Doctor Strange,67641920,232641920,165000000,7.5,2016,Doctor Strange,
Sully,65070033,125070033,60000000,7.4,2016,Sully,
The Conjuring 2,62470008,102470008,40000000,7.3,2016,The Conjuring 2,
Lights Out,62368835,67268835,4900000,6.3,2016,Lights Out,
10 Cloverfield Lane,57082998,72082998,15000000,7.2,2016,10 Cloverfield Lane,
Fantastic Beasts and Where to Find Them,54037575,234037575,180000000,7.3,2016,Fantastic Beasts and Where to Find Them,
Arrival,53546139,100546139,47000000,7.9,2016,Arrival,
Ride Along 2,51221830,91221830,40000000,5.9,2016,Ride Along 2,
Miracles from Heaven,48705123,61705123,13000000,7.1,2016,Miracles from Heaven,
Jason Bourne,42434410,162434410,120000000,6.6,2016,Jason Bourne,
The Accountant,42260045,86260045,44000000,7.3,2016,The Accountant,
My Big Fat Greek Wedding 2,41689605,59689605,18000000,6,2016,My Big Fat Greek Wedding 2,
Lion,39738905,51738905,12000000,8,2016,Lion,
Manchester by the Sea,38695371,47695371,9000000,7.8,2016,Manchester by the Sea,
The Shallows,38124043,55124043,17000000,6.3,2016,The Shallows,
Me Before You,36245075,56245075,20000000,7.4,2016,Me Before You,
Angry Birds,34509366,107509366,73000000,6.3,2016,Angry Birds,
The Boss,34285885,63285885,29000000,5.4,2016,The Boss,
Barbershop: The Next Cut,34030051,54030051,20000000,5.9,2016,Barbershop: The Next Cut,
Fences,33682904,57682904,24000000,7.2,2016,Fences,
The Girl on the Train,30395035,75395035,45000000,6.5,2016,The Girl on the Train,
Trolls,28707064,153707064,125000000,6.5,2016,Trolls,
Hacksaw Ridge,27209615,67209615,40000000,8.1,2016,Hacksaw Ridge,
Ouija: Origin of Evil,26144505,35144505,9000000,6.1,2016,Ouija: Origin of Evil,
The Boy,25819556,35819556,10000000,6,2016,The Boy,
Moonlight,23854932,27854932,4000000,7.4,2016,Moonlight,
Why Him?,22323786,60323786,38000000,6.2,2016,Why Him?,
Neighbors 2: Sorority Rising,20455765,55455765,35000000,5.7,2016,Neighbors 2: Sorority Rising,
Nerve,19583626,38583626,19000000,6.5,2016,Nerve,
Risen,16880033,36880033,20000000,6.3,2016,Risen,
The Forest,16594261,26594261,10000000,4.8,2016,The Forest,
Blair Witch,15777061,20777061,5000000,5,2016,Blair Witch,
God's Not Dead 2,15774575,20774575,5000000,4.4,2016,God's Not Dead 2,
Hell or High Water,15007844,27007844,12000000,7.6,2016,Hell or High Water,
Money Monster,14012075,41012075,27000000,6.5,2016,Money Monster,
Mike and Dave Need Wedding Dates,13009673,46009673,33000000,6,2016,Mike and Dave Need Wedding Dates,
Pete's Dragon,11233151,76233151,65000000,6.7,2016,Pete's Dragon,
Dirty Grandpa,10593113,35593113,25000000,5.9,2016,Dirty Grandpa,
Office Christmas Party,9767494,54767494,45000000,5.8,2016,Office Christmas Party,
How to Be Single,8843513,46843513,38000000,6.1,2016,How to Be Single,
"Hail, Caesar!",8498085,30498085,22000000,6.3,2016,"Hail, Caesar!",
Meet the Blacks,8197072,9097072,900000,4.8,2016,Meet the Blacks,
Mother's Day,7492859,32492859,25000000,5.7,2016,Mother's Day,
The Birth of a Nation,7361566,15861566,8500000,6.4,2016,The Birth of a Nation,
The Darkness,6753574,10753574,4000000,4.4,2016,The Darkness,
Fifty Shades of Black,6686940,11686940,5000000,3.5,2016,Fifty Shades of Black,
Keanu,5591853,20591853,15000000,6.2,2016,Keanu,
The Edge of Seventeen,5431633,14431633,9000000,7.3,2016,The Edge of Seventeen,
The Belko Experiment,5166820,10166820,5000000,6.1,2016,The Belko Experiment,
Jackie,4960394,13960394,9000000,6.7,2016,Jackie,
The Magnificent Seven,3432655,93432655,90000000,6.9,2016,The Magnificent Seven,
War Dogs,3034523,43034523,40000000,7.1,2016,War Dogs,
13 Hours,2853219,52853219,50000000,7.3,2016,13 Hours,
Storks,2679278,72679278,70000000,6.8,2016,Storks,
London Has Fallen,2524260,62524260,60000000,5.9,2016,London Has Fallen,
Swiss Army Man,1210454,4210454,3000000,7,2016,Swiss Army Man,
Batman: The Killing Joke,275000,3775000,3500000,6.4,2016,Batman: The Killing Joke,
Incarnate,-200226,4799774,5000000,5.3,2016,Incarnate,
31,-720180,779820,1500000,5.1,2016,31,
Bleed for This,-916094,5083906,6000000,6.8,2016,Bleed for This,
Loving,-1248031,7751969,9000000,7,2016,Loving,
Jack Reacher: Never Go Back,-1302924,58697076,60000000,6.1,2016,Jack Reacher: Never Go Back,
20th Century Women,-1335236,5664764,7000000,7.3,2016,20th Century Women,
Kung Fu Panda 3,-1471381,143528619,145000000,7.1,2016,Kung Fu Panda 3,
Beta Test,-1589896,10104,1600000,5.7,2016,Beta Test,
The Hollars,-2783015,1016985,3800000,6.5,2016,The Hollars,
Paterson,-2847262,2152738,5000000,7.4,2016,Paterson,
The 5th Wave,-3083213,34916787,38000000,5.2,2016,The 5th Wave,
Shut In,-3099665,6900335,10000000,4.8,2016,Shut In,
Morgan,-4084749,3915251,8000000,5.8,2016,Morgan,
Underworld: Blood Wars,-4646027,30353973,35000000,5.8,2016,Underworld: Blood Wars,
Collateral Beauty,-4983979,31016021,36000000,6.8,2016,Collateral Beauty,
The Neon Demon,-5666876,1333124,7000000,6.2,2016,The Neon Demon,
The Bad Batch,-5819149,180851,6000000,5.3,2016,The Bad Batch,
Denial,-5926511,4073489,10000000,6.7,2016,Denial,
Queen of Katwe,-6125611,8874389,15000000,7.4,2016,Queen of Katwe,
Max Steel,-6181336,3818664,10000000,4.6,2016,Max Steel,
Everybody Wants Some!!,-6599722,3400278,10000000,6.9,2016,Everybody Wants Some!!,
Mr. Church,-7314220,685780,8000000,7.6,2016,Mr. Church,
Triple 9,-7360703,12639297,20000000,6.3,2016,Triple 9,
The Light Between Oceans,-7454021,12545979,20000000,7.2,2016,The Light Between Oceans,
Masterminds,-7631978,17368022,25000000,5.8,2016,Masterminds,
Bad Santa 2,-8217822,17782178,26000000,5.6,2016,Bad Santa 2,
Miss Sloane,-9499395,3500605,13000000,7.5,2016,Miss Sloane,
Passengers,-9985301,100014699,110000000,7,2016,Passengers,
Popstar: Never Stop Never Stopping,-10360875,9639125,20000000,6.7,2016,Popstar: Never Stop Never Stopping,
Bridget Jones's Baby,-10747580,24252420,35000000,6.5,2016,Bridget Jones's Baby,
Nocturnal Animals,-11836643,10663357,22500000,7.5,2016,Nocturnal Animals,
Whiskey Tango Foxtrot,-11916666,23083334,35000000,6.6,2016,Whiskey Tango Foxtrot,
Colossal,-11970713,3029287,15000000,6.2,2016,Colossal,
Kubo and the Two Strings,-11976912,48023088,60000000,7.8,2016,Kubo and the Two Strings,
The Founder,-12213947,12786053,25000000,7.2,2016,The Founder,
The Infiltrator,-12563192,15436808,28000000,7,2016,The Infiltrator,
Gold,-12772962,7227038,20000000,6.7,2016,Gold,
Patriots Day,-13113639,31886361,45000000,7.4,2016,Patriots Day,
Resident Evil: The Final Chapter,-13169932,26830068,40000000,5.5,2016,Resident Evil: The Final Chapter,
The Nice Guys,-13738237,36261763,50000000,7.4,2016,The Nice Guys,
Midnight Special,-14287718,3712282,18000000,6.6,2016,Midnight Special,
Hands of Stone,-15287208,4712792,20000000,6.6,2016,Hands of Stone,
Ghostbusters,-15649426,128350574,144000000,5.2,2016,Ghostbusters,
Criminal,-16791304,14708696,31500000,6.3,2016,Criminal,
Pride and Prejudice and Zombies,-17061866,10938134,28000000,5.8,2016,Pride and Prejudice and Zombies,
Snowden,-18412481,21587519,40000000,7.3,2016,Snowden,
Mechanic: Resurrection,-18781597,21218403,40000000,5.7,2016,Mechanic: Resurrection,
Café Society,-18896795,11103205,30000000,6.6,2016,Café Society,
Collide,-19219996,2280004,21500000,5.7,2016,Collide,
Bastille Day,-19949731,50269,20000000,6.3,2016,Bastille Day,
Zoolander 2,-21151307,28848693,50000000,4.7,2016,Zoolander 2,
The Lost City of Z,-21419590,8580410,30000000,6.6,2016,The Lost City of Z,
X-Men: Apocalypse,-22557511,155442489,178000000,6.9,2016,X-Men: Apocalypse,
Miss Peregrine's Home for Peculiar Children,-22757166,87242834,110000000,6.7,2016,Miss Peregrine's Home for Peculiar Children,
Now You See Me 2,-24924460,65075540,90000000,6.5,2016,Now You See Me 2,
Keeping Up with the Joneses,-25095574,14904426,40000000,5.9,2016,Keeping Up with the Joneses,
A Hologram for the King,-25787506,4212494,30000000,6.1,2016,A Hologram for the King,
Star Trek Beyond,-26151660,158848340,185000000,7.1,2016,Star Trek Beyond,
Grimsby,-28125163,6874837,35000000,6.2,2016,Grimsby,
Free State of Jones,-29189964,20810036,50000000,6.9,2016,Free State of Jones,
All I See Is You,-29782356,217644,30000000,5.4,2016,All I See Is You,
A Cure for Wellness,-31893014,8106986,40000000,6.4,2016,A Cure for Wellness,
Billy Lynn's Long Halftime Walk,-38261523,1738477,40000000,6.2,2016,Billy Lynn's Long Halftime Walk,
Silence,-38899823,7100177,46000000,7.2,2016,Silence,
A Monster Calls,-39259177,3740823,43000000,7.5,2016,A Monster Calls,
Inferno,-40656426,34343574,75000000,6.2,2016,Inferno,
Ice Age: Collision Course,-40936992,64063008,105000000,5.7,2016,Ice Age: Collision Course,
Allegiant,-43815949,66184051,110000000,5.7,2016,Allegiant,
Allied,-44901936,40098064,85000000,7.1,2016,Allied,
Deepwater Horizon,-48566473,61433527,110000000,7.1,2016,Deepwater Horizon,
The Finest Hours,-52430442,27569558,80000000,6.8,2016,The Finest Hours,
Teenage Mutant Ninja Turtles: Out of the Shadows,-52948399,82051601,135000000,6,2016,Teenage Mutant Ninja Turtles: Out of the Shadows,
The Legend of Tarzan,-53356939,126643061,180000000,6.2,2016,The Legend of Tarzan,
Independence Day: Resurgence,-61855714,103144286,165000000,5.2,2016,Independence Day: Resurgence,
The Huntsman: Winter's War,-66609810,48390190,115000000,6.1,2016,The Huntsman: Winter's War,
Assassin's Creed,-70352052,54647948,125000000,5.7,2016,Assassin's Creed,
Ben-Hur,-73589523,26410477,100000000,5.7,2016,Ben-Hur,
The Promise,-81775712,8224288,90000000,6,2016,The Promise,
The BFG,-84516230,55483770,140000000,6.4,2016,The BFG,
Alice Through the Looking Glass,-92958619,77041381,170000000,6.2,2016,Alice Through the Looking Glass,
Live by Night,-97621445,10378555,108000000,6.4,2016,Live by Night,
The Great Wall,-104459170,45540830,150000000,5.9,2016,The Great Wall,
Gods of Egypt,-108846536,31153464,140000000,5.4,2016,Gods of Egypt,
Warcraft,-112634710,47365290,160000000,6.8,2016,Warcraft,
Beauty and the Beast,344481165,504481165,160000000,7.1,2017,Beauty and the Beast,
Jumanji: Welcome to the Jungle,314540171,404540171,90000000,6.9,2017,Jumanji: Welcome to the Jungle,
Star Wars: Episode VIII - The Last Jedi,303181382,620181382,317000000,7,2017,Star Wars: Episode VIII - The Last Jedi,
It,293828874,328828874,35000000,7.3,2017,It,
Wonder Woman,263563408,412563408,149000000,7.4,2017,Wonder Woman,
Guardians of the Galaxy Vol. 2,189813101,389813101,200000000,7.6,2017,Guardians of the Galaxy Vol. 2,
Despicable Me 3,184624300,264624300,80000000,6.3,2017,Despicable Me 3,
Get Out,171540665,176040665,4500000,7.7,2017,Get Out,
Spider-Man: Homecoming,159201140,334201140,175000000,7.4,2017,Spider-Man: Homecoming,
Thor: Ragnarok,135058289,315058289,180000000,7.9,2017,Thor: Ragnarok,
Logan,129277068,226277068,97000000,8.1,2017,Logan,
Wonder,112422809,132422809,20000000,8,2017,Wonder,
Girls Trip,96171585,115171585,19000000,6.2,2017,Girls Trip,
The Lego Batman Movie,95750384,175750384,80000000,7.3,2017,The Lego Batman Movie,
The Greatest Showman,90340174,174340174,84000000,7.6,2017,The Greatest Showman,
Dunkirk,89740665,189740665,100000000,7.9,2017,Dunkirk,
Annabelle: Creation,87092201,102092201,15000000,6.5,2017,Annabelle: Creation,
Baby Driver,73825862,107825862,34000000,7.6,2017,Baby Driver,
The Upside,70752517,108252517,37500000,6.9,2017,The Upside,
Pitch Perfect 3,59897530,104897530,45000000,5.8,2017,Pitch Perfect 3,
Fifty Shades Darker,59581250,114581250,55000000,4.6,2017,Fifty Shades Darker,
John Wick: Chapter 2,52029184,92029184,40000000,7.5,2017,John Wick: Chapter 2,
Happy Death Day,50883845,55683845,4800000,6.6,2017,Happy Death Day,
The Boss Baby,50003033,175003033,125000000,6.3,2017,The Boss Baby,
Murder on the Orient Express,47826543,102826543,55000000,6.5,2017,Murder on the Orient Express,
The Hitman's Bodyguard,45468583,75468583,30000000,6.9,2017,The Hitman's Bodyguard,
The Shape of Water,44459435,63859435,19400000,7.3,2017,The Shape of Water,
A Bad Moms Christmas,44110659,72110659,28000000,5.6,2017,A Bad Moms Christmas,
A Dog's Purpose,42508620,64508620,22000000,7.2,2017,A Dog's Purpose,
"Three Billboards Outside Ebbing, Missouri",39513740,54513740,15000000,8.2,2017,"Three Billboards Outside Ebbing, Missouri",
Lady Bird,38958273,48958273,10000000,7.4,2017,Lady Bird,
The Big Sick,37873127,42873127,5000000,7.5,2017,The Big Sick,
The Shack,37386418,57386418,20000000,6.3,2017,The Shack,
The Emoji Movie,36089513,86089513,50000000,3.3,2017,The Emoji Movie,
Captain Underpants: The First Epic Movie,35921000,73921000,38000000,6.2,2017,Captain Underpants: The First Epic Movie,
Daddy's Home 2,35029443,104029443,69000000,6,2017,Daddy's Home 2,
Coco,34726015,209726015,175000000,8.4,2017,Coco,
The Post,31903458,81903458,50000000,7.2,2017,The Post,
Jigsaw,28052832,38052832,10000000,5.8,2017,Jigsaw,
Darkest Hour,26468410,56468410,30000000,7.4,2017,Darkest Hour,
"Everything, Everything",24121140,34121140,10000000,6.4,2017,"Everything, Everything",
Wind River,22800859,33800859,11000000,7.7,2017,Wind River,
How to Be a Latin Lover,22149404,32149404,10000000,6,2017,How to Be a Latin Lover,
Atomic Blonde,21687870,51687870,30000000,6.7,2017,Atomic Blonde,
Going in Style,20018541,45018541,25000000,6.6,2017,Going in Style,
"I, Tonya",19014539,30014539,11000000,7.5,2017,"I, Tonya",
Gifted,17801212,24801212,7000000,7.6,2017,Gifted,
Home Again,15020284,27020284,12000000,5.8,2017,Home Again,
The Bye Bye Man,14995806,22395806,7400000,4.2,2017,The Bye Bye Man,
The Disaster Artist,11120616,21120616,10000000,7.4,2017,The Disaster Artist,
