original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
The Box,2009,"Drama, Fantasy, Mystery",115,USA,English,Richard Kelly,"Richard Kelly, Richard Matheson","Cameron Diaz, James Marsden, Frank Langella, James Rebhorn, Holmes Osborne, Sam Oz Stone, Gillian Jacobs, Celia Weston, Deborah Rush, Lisa K. Wyatt, Mark S. Cartier, Kevin Robertson, Michele Durrett, Ian Kahn, John Magaro",Cameron Diaz,"Cameron Diaz, James Marsden","A small wooden box arrives on the doorstep of a married couple, who know that opening it will grant them a million dollars and kill someone they don't know.",A small wooden box arrives on,5.6,87997,30000000,15051977,-14948023
New York Minute,2004,"Comedy, Crime, Family",91,USA,English,Dennie Gordon,"Emily Fox, Emily Fox","Ashley Olsen, Mary-Kate Olsen, Eugene Levy, Andy Richter, Riley Smith, Jared Padalecki, Drew Pinsky, Darrell Hammond, Andrea Martin, Alannah Ong, Mary Bond Davis, Bob Saget, Jack Osbourne, Joey Klein, Neil Crone",Ashley Olsen,"Ashley Olsen, Mary-Kate Olsen","One day in New York City, Jane Ryan tries out for an overseas college program, her twin sister Roxy schemes to meet her favorite punk rockers, and a series of mishaps throws their day into ...","One day in New York City, Jane",5,21435,30000000,14071441,-15928559
Beyond the Sea,2004,"Biography, Drama, Music",118,"UK, Germany, USA",English,Kevin Spacey,"Kevin Spacey, Lewis Colick","Kevin Spacey, Kate Bosworth, John Goodman, Bob Hoskins, Brenda Blethyn, Greta Scacchi, Caroline Aaron, Peter Cincotti, William Ullrich, Michael Byrne, Matt Rippy, Gary Whelan, Jake Broder, Tayfun Bademsoy, Tomas Spencer",Kevin Spacey,"Kevin Spacey, Kate Bosworth","A swooning study of ""Mack the Knife"" singer","A swooning study of ""Mack the",6.7,14343,23000000,6318709,-16681291
Dawn of the Dead,2004,"Action, Horror",101,"USA, Canada, Japan, France",English,Zack Snyder,"George A. Romero, James Gunn","Sarah Polley, Ving Rhames, Jake Weber, Mekhi Phifer, Ty Burrell, Michael Kelly, Kevin Zegers, Michael Barry, Lindy Booth, Jayne Eastwood, Boyd Banks, Inna Korobkina, R.D. Reid, Kim Poirier, Matt Frewer",Sarah Polley,"Sarah Polley, Ving Rhames","A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.","A nurse, a policeman, a young",7.3,230596,26000000,59020957,33020957
Elephant,2003,"Crime, Drama, Thriller",81,USA,English,Gus Van Sant,Gus Van Sant,"Alex Frost, Eric Deulen, John Robinson, Elias McConnell, Jordan Taylor, Carrie Finklea, Nicole George, Brittany Mountain, Alicia Miles, Kristen Hicks, Bennie Dixon, Nathan Tyson, Timothy Bottoms, Matt Malloy, Ellis Williams",Alex Frost,"Alex Frost, Eric Deulen",Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.,Several ordinary high school students,7.2,84470,3000000,1266955,-1733045
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family, Fantasy",143,"UK, USA",English,Andrew Adamson,"Ann Peacock, Andrew Adamson","Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Tilda Swinton, James McAvoy, Jim Broadbent, Kiran Shah, James Cosmo, Judy McIntosh, Elizabeth Hawthorne, Patrick Kake, Shane Rangi, Brandon Cook, Cassie Cook",Georgie Henley,"Georgie Henley, Skandar Keynes",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,Four kids travel through a wardrobe,6.9,358834,180000000,291710957,111710957
Lymelife,2008,"Comedy, Drama, Romance",95,USA,English,Derick Martini,"Derick Martini, Steven Martini","Rory Culkin, Alec Baldwin, Jill Hennessy, Emma Roberts, Timothy Hutton, Cynthia Nixon, Logan Huffman, Brandon Thane Wilson, Adam Scarimbolo, Kieran Culkin, Phillip Pennestri, Louis Ruffolo Jr., Beepers",Rory Culkin,"Rory Culkin, Alec Baldwin",A family unit begins to bow under the pressure of a failing marriage.,A family unit begins to bow under,6.9,13640,1500000,421307,-1078693
Secret Window,2004,"Drama, Mystery, Thriller",96,USA,English,David Koepp,"Stephen King, David Koepp","Johnny Depp, John Turturro, Maria Bello, Timothy Hutton, Charles S. Dutton, Len Cariou, Joan Heney, John Dunn-Hill, Vlasta Vrana, Matt Holland, Gillian Ferrabee, Bronwen Mantel, Elizabeth Marleau, Kyle Allatt, Richard Jutras",Johnny Depp,"Johnny Depp, John Turturro",A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.,A successful writer in the midst,6.6,178782,40000000,48022900,8022900
Taking Lives,2004,"Crime, Mystery, Thriller",103,"USA, UK",English,D.J. Caruso,"Michael Pye, Jon Bokenkamp","Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands, Olivier Martinez, Tchéky Karyo, Jean-Hugues Anglade, Paul Dano, Justin Chatwin, André Lacoste, Billy Two Rivers, Richard Lemire, Julien Poulin, Marie-Josée Croze, Christian Tessier",Angelina Jolie,"Angelina Jolie, Ethan Hawke",An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,An FBI profiler is called in by,6.3,78956,45000000,32682342,-12317658
Dodgeball: A True Underdog Story,2004,"Comedy, Sport",92,USA,English,Rawson Marshall Thurber,Rawson Marshall Thurber,"Vince Vaughn, Christine Taylor, Ben Stiller, Rip Torn, Justin Long, Stephen Root, Joel David Moore, Chris Williams, Alan Tudyk, Missi Pyle, Jamal Duff, Gary Cole, Jason Bateman, Hank Azaria, Al Kaplon",Vince Vaughn,"Vince Vaughn, Christine Taylor",A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,A group of misfits enter a Las,6.7,225525,20000000,114326736,94326736
Without a Paddle,2004,"Adventure, Comedy, Mystery",95,"USA, New Zealand",English,Steven Brill,"Fred Wolf, Harris Goldberg","Matthew Price, Andrew Hampton, Jarred Rumbold, Carl Snell, Antony Starr, Dax Shepard, Matthew Lillard, Seth Green, Nadine Bernecker, Danielle Cormack, David Stott, Bonnie Somerville, Scott Adsit, Morgan Reese Fairhead, Liddy Holloway",Matthew Price,"Matthew Price, Andrew Hampton","After their friend dies, three men decide to fulfill their childhood dream by going on a camping expedition for the lost D. B. Cooper bounty, with calamitous results.","After their friend dies, three",5.9,43716,19000000,58169327,39169327
Babylon A.D.,2008,"Action, Adventure, Sci-Fi",90,"France, UK, USA",English,Mathieu Kassovitz,"Maurice G. Dantec, Mathieu Kassovitz","Vin Diesel, Michelle Yeoh, Mélanie Thierry, Gérard Depardieu, Charlotte Rampling, Mark Strong, Lambert Wilson, Jérôme Le Banner, Joel Kirby, Souleymane Dicko, David Belle, Radek Bruna, Jan Unger, Abraham Belaga, Gary Cowan",Vin Diesel,"Vin Diesel, Michelle Yeoh",Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.,Veteran-turned-mercenary Toorop,5.6,92528,70000000,22532572,-47467428
A Dirty Shame,2004,Comedy,89,USA,English,John Waters,John Waters,"Tracey Ullman, Johnny Knoxville, Selma Blair, Chris Isaak, Suzanne Shepherd, Mink Stole, Patricia Hearst, Jackie Hoffman, Nick Noble, Lucy Newman-Williams, Scott Morgan, Wes Johnson, David A. Dunham, David Moretti, Jeffrey Auerbach",Tracey Ullman,"Tracey Ullman, Johnny Knoxville","An uptight, middle-aged, repressed woman turns into a sex addict after getting hit on the head, and she then falls into an underground subculture of sex addicts in suburban Baltimore.","An uptight, middle-aged, repressed",5.1,12098,15000000,1339668,-13660332
The Matador,2005,"Comedy, Crime, Thriller",96,"Ireland, Mexico, Germany, USA",English,Richard Shepard,Richard Shepard,"Pierce Brosnan, Arlin Miller, Azucena Medina, Jonah Meyerson, Wiveca Bonerais, Greg Kinnear, Hope Davis, Adam Scott, Portia Dawson, Roberto Sosa, Antonio Zavala Kugler, Ramon Alvarez, Luz Maria Molina, Philip Baker Hall, Carolyn Horwitz",Pierce Brosnan,"Pierce Brosnan, Arlin Miller",A globetrotting hitman and a crestfallen businessman meet in a hotel bar in Mexico City in an encounter that draws them together in a way neither expected.,A globetrotting hitman and a crestfallen,6.7,43501,12500000,12594698,94698
Syriana,2005,"Drama, Thriller",128,"USA, United Arab Emirates",English,Stephen Gaghan,"Stephen Gaghan, Robert Baer","Kayvan Novak, George Clooney, Amr Waked, Christopher Plummer, Jeffrey Wright, Chris Cooper, Robert Foxworth, Nicky Henson, Nicholas Art, Matt Damon, Amanda Peet, Steven Hinkle, Daisy Tormé, Peter Gerety, Richard Lintern",Kayvan Novak,"Kayvan Novak, George Clooney",A politically charged epic about the state of the oil industry in the hands of those personally involved in and affected by it.,A politically charged epic about,6.9,124449,50000000,50824620,824620
Tenacious D in The Pick of Destiny,2006,"Adventure, Comedy, Music",93,"USA, Germany",English,Liam Lynch,"Jack Black, Kyle Gass","Jack Black, Kyle Gass, JR Reed, Ronnie James Dio, Paul F. Tompkins, Troy Gentile, Ned Bellamy, Fred Armisen, Kirk Ward, Amy Poehler, Tim Robbins, Dave Grohl, Ben Stiller, Lara Everly, Brittany Eldridge",Jack Black,"Jack Black, Kyle Gass","To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum.",To become the greatest band of,6.8,100424,20000000,8334575,-11665425
The Upside of Anger,2005,"Comedy, Drama",118,"USA, Germany, UK",English,Mike Binder,Mike Binder,"Joan Allen, Kevin Costner, Erika Christensen, Keri Russell, Alicia Witt, Evan Rachel Wood, Mike Binder, Tom Harper, Dane Christensen, Danny Webb, Magdalena Manville, Suzanne Bertish, David Firth, Rod Woodruff, Stephen Greif",Joan Allen,"Joan Allen, Kevin Costner","When her husband unexpectedly disappears, a sharp-witted suburban wife and her daughters juggle their mom's romantic dilemmas and family dynamics.",When her husband unexpectedly,6.8,20986,12000000,18761993,6761993
A Walk Among the Tombstones,2014,"Action, Crime, Drama",114,USA,English,Scott Frank,"Lawrence Block, Scott Frank","Liam Neeson, Maurice Compte, Patrick McDade, Luciano Acuna Jr., Hans Marrero, Laura Birn, David Harbour, Adam David Thompson, Boyd Holbrook, Kim Rosen, Dan Stevens, Eric Nelsen, Jon Goracy, Razane Jammal, Stephanie Andujar",Liam Neeson,"Liam Neeson, Maurice Compte",Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,Private investigator Matthew Scudder,6.5,110683,28000000,26307600,-1692400
Whiteout,2009,"Action, Crime, Horror",101,"USA, Canada, France, Turkey",English,Dominic Sena,"Jon Hoeber, Erich Hoeber","Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short, Alex O'Loughlin, Shawn Doyle, Joel Keller, Jesse Todd, Arthur Holden, Erin Hicock, Bashar Rahal, Julian Cain, Dennis Keiffer, Andrei Runtso, Roman Varshavsky",Kate Beckinsale,"Kate Beckinsale, Gabriel Macht","U.S. Marshal Carrie Stetko tracks a killer in Antarctica, as the sun is about to set for six months.",U.S. Marshal Carrie Stetko tracks,5.5,36885,35000000,10275638,-24724362
You Got Served,2004,"Drama, Music",95,USA,English,Chris Stokes,Chris Stokes,"Omarion, Marques Houston, Jennifer Freeman, Jarell Houston, Lil' Fizz, Raz B, Marty Dew, Jerome Jones, Tanee McCall, Malcolm David Kelley, Meagan Good, Steve Harvey, Christopher Jones, Robert Hoffman, Michael Taliferro",Omarion,"Omarion, Marques Houston","In order to achieve their dream of opening a recording studio, two friends (Omarion, Houston) must first win their city's dance contest -- a fierce competition that pits them against a group of tough street dancers.",In order to achieve their dream,3.9,25698,8000000,40363810,32363810
Anacondas: The Hunt for the Blood Orchid,2004,"Action, Adventure, Horror",97,"USA, Australia",English,Dwight H. Little,"Hans Bauer, Jim Cash","Johnny Messner, KaDee Strickland, Matthew Marsden, Nicholas Gonzalez, Eugene Byrd, Karl Yune, Salli Richardson-Whitfield, Morris Chestnut, Andy Anderson, Nicholas Hope, Peter Curtin, Denis Arndt, Khoa Do, Aireti, Andre Tandjung",Johnny Messner,"Johnny Messner, KaDee Strickland","A scientific expedition sets out for Borneo to seek a flower called the Blood Orchid, which could grant longer life. Meanwhile, they run afoul of snakes and each other.",A scientific expedition sets out,4.7,28465,20000000,32238923,12238923
Happy Feet,2006,"Animation, Adventure, Comedy",108,"USA, Australia",English,"George Miller, Warren Coleman","George Miller, John Collee","Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez, Robin Williams, Elijah Wood, Brittany Murphy, Hugh Jackman, Nicole Kidman, Hugo Weaving, Elizabeth Daily, Magda Szubanski, Miriam Margolyes, Fat Joe, Alyssa Shafer",Carlos Alazraqui,"Carlos Alazraqui, Lombardo Boyar","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",Into the world of the Emperor,6.4,166806,100000000,198000317,98000317
Harold & Kumar Go to White Castle,2004,"Adventure, Comedy",88,"USA, Canada, Germany",English,Danny Leiner,"Jon Hurwitz, Hayden Schlossberg","John Cho, Ethan Embry, Rob Tinkler, Fred Willard, Kal Penn, Steve Braun, Dan Bochart, Paula Garcés, Mike Sheer, Christopher Thompson, David Krumholtz, Eddie Kaye Thomas, Angelo Tsarouchas, Anthony Anderson, Siu Ta",John Cho,"John Cho, Ethan Embry",A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.,A Korean-American office worker,7.1,179391,9000000,18250550,9250550
The Jacket,2005,"Drama, Fantasy, Mystery",103,"Germany, USA",English,John Maybury,"Tom Bleecker, Marc Rocco","Adrien Brody, Keira Knightley, Kris Kristofferson, Jennifer Jason Leigh, Kelly Lynch, Brad Renfro, Daniel Craig, Steven Mackintosh, Brendan Coyle, Mackenzie Phillips, Laura Marano, Jason Lewis, Richard Dillane, Jonah Lotan, Angel Coulby",Adrien Brody,"Adrien Brody, Keira Knightley","A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them.",A Gulf war veteran is wrongly,7.1,107314,29000000,6303762,-22696238
Mirrormask,2005,"Adventure, Fantasy",101,"UK, USA",English,Dave McKean,"Neil Gaiman, Dave McKean","Stephanie Leonidas, Jason Barry, Rob Brydon, Gina McKee, Dora Bryan, Stephen Fry, Andy Hamilton, Simon Harvey, Lenny Henry, Robert Llewellyn, Eryl Maynard, Eve Pearce, Nik Robson, Victoria Williams, Rick Allen",Stephanie Leonidas,"Stephanie Leonidas, Jason Barry","In a fantasy world of opposing kingdoms, a fifteen-year-old girl must find the fabled MirrorMask in order to save the kingdom and get home.",In a fantasy world of opposing,6.8,22164,4000000,866999,-3133001
Shortbus,2006,"Comedy, Drama",101,USA,English,John Cameron Mitchell,John Cameron Mitchell,"Paul Dawson, Lindsay Beamish, Adam Hardman, Sook-Yin Lee, Raphael Barker, Peter Stickles, PJ DeBoy, David Pittu, Jeff Whitty, Mickey Cottrell, Mary Beth Peil, Shanti Carson, Jan Hilmer, Mx Justin Vivian Bond, Bradford Scobie",Paul Dawson,"Paul Dawson, Lindsay Beamish","A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality.",A group of New Yorkers caught,6.4,31577,2000000,1985292,-14708
Soul Plane,2004,Comedy,86,USA,English,Jessy Terrero,"Bo Zenga, Chuck Wilson","Tom Arnold, Kevin Hart, Method Man, Snoop Dogg, K.D. Aubert, Godfrey, Brian Hooks, D.L. Hughley, Arielle Kebbel, Loni Love, Mo'Nique, Ryan Pinkston, Missi Pyle, Sommore, Sofía Vergara",Tom Arnold,"Tom Arnold, Kevin Hart","Things get raucously funny aboard the maiden flight of a black-owned airline, thanks to some last-minute passenger additions.",Things get raucously funny aboard,4.5,21418,16000000,14190750,-1809250
The Squid and the Whale,2005,"Comedy, Drama",81,USA,English,Noah Baumbach,Noah Baumbach,"Owen Kline, Jeff Daniels, Laura Linney, Jesse Eisenberg, William Baldwin, David Benger, Anna Paquin, Molly Barton, Bo Berkman, Matthew Kaplan, Simon Kaplan, Matthew Kirsch, Daniella Markowicz, Elizabeth Meriwether, Ben Schrank",Owen Kline,"Owen Kline, Jeff Daniels",Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,Follows two young boys dealing,7.3,76666,1500000,7372734,5872734
After the Sunset,2004,"Action, Comedy, Crime",97,USA,English,Brett Ratner,"Paul Zbyszewski, Paul Zbyszewski","Pierce Brosnan, Salma Hayek, Woody Harrelson, Don Cheadle, Naomie Harris, Chris Penn, Troy Garity, Obba Babatundé, Russell Hornsby, Mykelti Williamson, Rex Linn, Robert Curtis Brown, Mark Moses, Michael Bowen, Tony Ledard",Pierce Brosnan,"Pierce Brosnan, Salma Hayek","The story of what happens after a master thief achieves his last big score, when the F.B.I. Agent who promised he'd capture him, is about to do just that.",The story of what happens after,6.3,44097,60000000,28331233,-31668767
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family",115,"UK, USA",English,Tim Burton,"Roald Dahl, John August","Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, Franziska Troegner, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz",Johnny Depp,"Johnny Depp, Freddie Highmore","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",A young boy wins a tour through,6.6,416793,150000000,206459076,56459076
D.E.B.S.,2004,"Action, Comedy, Romance",91,USA,English,Angela Robinson,Angela Robinson,"Sara Foster, Jordana Brewster, Meagan Good, Devon Aoki, Jill Ritchie, Geoff Stults, Jimmi Simpson, Jessica Cauffiel, Christina Kirk, Holland Taylor, Michael Clarke Duncan, J.B. Ghuman Jr., Scoot McNairy, Jean St. James, Eric Dearborn",Sara Foster,"Sara Foster, Jordana Brewster","Plaid-skirted schoolgirls are groomed by a secret government agency to become the newest members of the elite national-defense group, D.E.B.S.",Plaid-skirted schoolgirls are,5.3,14608,3500000,97446,-3402554
Deuce Bigalow: European Gigolo,2005,Comedy,83,USA,English,Mike Bigelow,"Harris Goldberg, Rob Schneider","Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger, Douglas Sills, Carlos Ponce, Charles Keating, Hanna Verboom, Alex Dimitriades, Kostas Sommer, Federico Dordei, Oded Fehr, Tony Fish, Elisabetta Canalis, Hilton Myburgh",Rob Schneider,"Rob Schneider, Eddie Griffin","Deuce is tricked again into man-whoring by T.J., only in Amsterdam while other man-whores are being murdered in his midst.",Deuce is tricked again into man-whoring,4.7,47896,22000000,22400154,400154
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action, Adventure",122,USA,English,Steven Spielberg,"David Koepp, George Lucas","Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf, Ray Winstone, John Hurt, Jim Broadbent, Igor Jijikine, Dimitri Diatchenko, Ilia Volok, Emmanuel Todorov, Pasha D. Lychnikoff, Andrew Divoff, Venya Manzyuk, Alan Dale",Harrison Ford,"Harrison Ford, Cate Blanchett","In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.","In 1957, archaeologist and adventurer",6.1,417120,185000000,317101119,132101119
Hannibal Rising,2007,"Adventure, Crime, Drama",121,"UK, Czech Republic, France, Italy, USA",English,Peter Webber,"Thomas Harris, Thomas Harris","Aaran Thomas, Gaspard Ulliel, Li Gong, Helena-Lia Tachovská, Richard Leaf, Dominic West, Rhys Ifans, Michelle Wade, Richard Brake, Martin Hub, Ingeborga Dapkunaite, Kevin McKidd, Joerg Stadler, Stephen Walters, Ivan Marevich",Aaran Thomas,"Aaran Thomas, Gaspard Ulliel","After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.",After the death of his parents,6.2,102145,50000000,27670986,-22329014
The Manchurian Candidate,2004,"Drama, Mystery, Sci-Fi",129,USA,English,Jonathan Demme,"Richard Condon, George Axelrod","Jeffrey Wright, Pablo Schreiber, Anthony Mackie, Dorian Missick, Jose Pablo Cantillo, Teddy Dunn, Joaquin Perez-Campbell, Tim Artz, Denzel Washington, Robyn Hitchcock, Liev Schreiber, Antoine Taylor, Joe Alessi, Raymond Anthony Thomas, Bill Irwin",Jeffrey Wright,"Jeffrey Wright, Pablo Schreiber","In the midst of the Gulf War, soldiers are kidnapped and brainwashed for sinister purposes.","In the midst of the Gulf War,",6.6,102113,80000000,65955630,-14044370
The Room,2003,Drama,99,USA,English,Tommy Wiseau,Tommy Wiseau,"Tommy Wiseau, Juliette Danielle, Greg Sestero, Philip Haldiman, Carolyn Minnott, Robyn Paris, Mike Holmes, Dan Janjigian, Kyle Vogt, Greg Ellery, Piper Gore, Kari McDermott, Jennifer Vanderbliek, Bennett Dunn, Padma Moyer",Tommy Wiseau,"Tommy Wiseau, Juliette Danielle",Johnny is a successful bank executive who lives quietly in a San Francisco townhouse with his future wife Lisa. One day she unscrupulously seduces his best friend Mark. Nothing will ever be the same again.,Johnny is a successful bank executive,3.7,80248,6000000,549602,-5450398
The Village,2004,"Drama, Mystery, Thriller",108,USA,English,M. Night Shyamalan,M. Night Shyamalan,"Bryce Dallas Howard, Joaquin Phoenix, Adrien Brody, William Hurt, Sigourney Weaver, Brendan Gleeson, Cherry Jones, Celia Weston, John Christopher Jones, Frank Collison, Jayne Atkinson, Judy Greer, Fran Kranz, Michael Pitt, Jesse Eisenberg",Bryce Dallas Howard,Bryce Dallas Howard,A series of events tests the beliefs of a small isolated countryside village.,A series of events tests the beliefs,6.5,238570,60000000,114197520,54197520
Are We There Yet?,2005,"Adventure, Comedy, Family",95,"USA, Canada",English,Brian Levant,"Steven Gary Banks, Claudia Grazioso","Ice Cube, Nia Long, Aleisha Allen, Philip Bolden, Jay Mohr, M.C. Gainey, Tracy Morgan, Henry Simmons, Ray Galletti, Viv Leacock, Casey Dubois, J.B. McEown, Kenyan Lewis, Daniel Cudmore, Tim Perez",Ice Cube,"Ice Cube, Nia Long, Aleisha Allen","To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for.","To impress a foxy divorcee, ladies'",4.7,28859,32000000,82674398,50674398
Elizabethtown,2005,"Comedy, Drama, Romance",123,USA,English,Cameron Crowe,Cameron Crowe,"Orlando Bloom, Kirsten Dunst, Susan Sarandon, Alec Baldwin, Bruce McGill, Judy Greer, Jessica Biel, Paul Schneider, Loudon Wainwright III, Gailard Sartain, Jed Rees, Paula Deen, Dan Biggers, Alice Marie Crowe, Tim Devitt",Orlando Bloom,"Orlando Bloom, Kirsten Dunst","During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",During a hometown memorial for,6.4,66652,45000000,26850426,-18149574
I'm Not There,2007,"Biography, Drama, Music",135,"Germany, Canada, USA, France",English,Todd Haynes,"Todd Haynes, Oren Moverman","Cate Blanchett, Ben Whishaw, Christian Bale, Richard Gere, Marcus Carl Franklin, Heath Ledger, Kris Kristofferson, Don Francks, Roc LaFortune, Larry Day, Paul Cagelet, Brian R.C. Wilmes, Pierre-Alexandre Fortin, Richie Havens, Tyrone Benskin",Cate Blanchett,"Cate Blanchett, Ben Whishaw","Ruminations on the life of Bob Dylan, where six characters embody a different aspect of the musician's life and work.",Ruminations on the life of Bob,6.9,55904,20000000,4017609,-15982391
National Treasure,2004,"Action, Adventure, Mystery",131,USA,English,Jon Turteltaub,"Jim Kouf, Cormac Wibberley","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer, David Dayan Fisher, Stewart Finlay-McLennan, Oleg Taktarov, Stephen A. Pope, Annie Parisse, Mark Pellegrino, Armando Riesco, Erik King",Nicolas Cage,"Nicolas Cage, Diane Kruger",A historian races to find the legendary Templar Treasure before a team of mercenaries.,A historian races to find the,6.9,299339,100000000,173008894,73008894
The Princess Diaries 2: Royal Engagement,2004,"Comedy, Family, Romance",113,USA,English,Garry Marshall,"Meg Cabot, Gina Wendkos","Anne Hathaway, Julie Andrews, Hector Elizondo, John Rhys-Davies, Heather Matarazzo, Chris Pine, Callum Blue, Kathleen Marshall, Tom Poston, Joel McCrary, Kim Thomson, Raven-Symoné, Larry Miller, Caroline Goodall, Sean O'Bryan",Anne Hathaway,"Anne Hathaway, Julie Andrews","Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.","Now settled in Genovia, Princess",5.8,72487,40000000,95170481,55170481
Sleepover,2004,"Comedy, Family, Romance",89,USA,English,Joe Nussbaum,Elisa Bell,"Alexa PenaVega, Mika Boorem, Jane Lynch, Sam Huntington, Sara Paxton, Brie Larson, Scout Taylor-Compton, Douglas Smith, Katija Pevec, Steve Carell, Jeff Garlin, Kallie Flynn Childress, Eileen Seton, Evan Peters, Hunter Parrish",Alexa PenaVega,"Alexa PenaVega, Mika Boorem","Desperate to improve their social status, four best friends enter into an all-night scavenger hunt against the popular clique in their school.",Desperate to improve their social,5.4,15180,10000000,9436390,-563610
Alone in the Dark,2005,"Action, Horror, Sci-Fi",99,"Canada, Germany, USA",English,Uwe Boll,"Elan Mastai, Michael Roesch","Christian Slater, Tara Reid, Stephen Dorff, Frank C. Turner, Matthew Walker, Will Sanderson, Mark Acheson, Darren Shahlavi, Karin Konoval, Craig Bruhnanski, Kwesi Ameyaw, Dustyn Arthurs, Catherine Lough Haggquist, Ed Anders, Brad Turner",Christian Slater,"Christian Slater, Tara Reid",A detective of the paranormal slowly unravels mysterious events with deadly results.,A detective of the paranormal,2.4,41383,20000000,5178569,-14821431
Collateral,2004,"Crime, Drama, Thriller",120,USA,English,Michael Mann,Stuart Beattie,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo, Peter Berg, Bruce McGill, Irma P. Hall, Barry Shabaka Henley, Richard T. Jones, Klea Scott, Bodhi Elfman, Debi Mazar, Javier Bardem, Emilio Rivera, Jamie McBride",Tom Cruise,"Tom Cruise, Jamie Foxx",A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,A cab driver finds himself the,7.5,352788,65000000,101005703,36005703
Four Christmases,2008,"Comedy, Drama, Romance",88,"Germany, USA",English,Seth Gordon,"Matt Allen, Caleb Wilson","Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek, Jon Voight, Jon Favreau, Mary Steenburgen, Dwight Yoakam, Tim McGraw, Kristin Chenoweth, Katy Mixon, Colleen Camp, Jeanette Miller, Jack Donner, Steve Wiebe",Vince Vaughn,"Vince Vaughn, Reese Witherspoon",A couple struggles to visit all four of their divorced parents on Christmas.,A couple struggles to visit all,5.7,61716,80000000,120146040,40146040
Fun with Dick and Jane,2005,"Comedy, Crime",90,USA,English,Dean Parisot,"Judd Apatow, Nicholas Stoller","Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins, Angie Harmon, John Michael Higgins, Richard Burgi, Carlos Jacott, Aaron Michael Drozin, Gloria Garayua, Michelle Arthur, Stacey Travis, Timm Sharp, David Herman, Dempsey Pappion",Jim Carrey,"Jim Carrey, Téa Leoni","When an affluent couple lose all their money following a series of blunders, they turn to a life of crime to make ends meet.",When an affluent couple lose all,6.2,132575,100000000,110332737,10332737
